video_id,start,duration,text
SwQhKFMxmDY,0.4,2.47,"Hey everybody, welcome to the podcast."
SwQhKFMxmDY,2.87,2.62,My guest today is Dr. Andrew Huberman.
SwQhKFMxmDY,5.49,2.5,Andrew is a neuroscientist.
SwQhKFMxmDY,7.99,3.88,He's a Neurobiology Professor at Stanford Medical School
SwQhKFMxmDY,11.87,3.44,and McKnight Foundation and Pew Foundation Fellow
SwQhKFMxmDY,15.31,2.37,"and the founder of Huberman Lab, where he's involved"
SwQhKFMxmDY,17.68,2.26,in all kinds of really amazing breakthrough research
SwQhKFMxmDY,19.94,4.32,"on brain function, brain plasticity and brain regeneration."
SwQhKFMxmDY,24.26,3.46,His work has been published in top journals like Nature.
SwQhKFMxmDY,27.72,1.34,He's been featured in publications
SwQhKFMxmDY,29.06,2.71,"like Time, Scientific America and the BBC."
SwQhKFMxmDY,31.77,2.56,"And he's here today to discuss the brain,"
SwQhKFMxmDY,34.33,3.08,"to discuss growth mindset, how to focus,"
SwQhKFMxmDY,37.41,5.0,how to navigate the stressful times and many other subjects.
SwQhKFMxmDY,42.47,1.373,It's an incredible conversation.
SwQhKFMxmDY,43.843,2.097,I think you guys are gonna enjoy it.
SwQhKFMxmDY,45.94,1.07,I appreciate you watching
SwQhKFMxmDY,47.01,1.63,make sure to hit that subscribe button
SwQhKFMxmDY,48.64,2.67,"and without further ado, this is me"
SwQhKFMxmDY,51.31,2.295,and Dr. Andrew Huberman.
SwQhKFMxmDY,60.51,1.31,"First of all, thanks for doing this."
SwQhKFMxmDY,61.82,1.18,I appreciate you coming out.
SwQhKFMxmDY,63.0,1.48,"Yeah, my pleasure.
Long time coming."
SwQhKFMxmDY,64.48,1.36,I'm glad we're doing it in person-
SwQhKFMxmDY,65.84,2.12,"Likewise.
And not remotely."
SwQhKFMxmDY,67.96,4.033,"And I think what I wanna do is start with your origin story,"
SwQhKFMxmDY,74.19,1.04,"because you're a very,"
SwQhKFMxmDY,75.23,1.67,"it's your path is very unlikely,"
SwQhKFMxmDY,76.9,2.21,your path to becoming a scientist.
SwQhKFMxmDY,79.11,3.11,And I think it actually also kind of contextualizes
SwQhKFMxmDY,82.22,3.39,some of the things that I wanna talk about with you today.
SwQhKFMxmDY,85.61,1.27,So maybe start there.
SwQhKFMxmDY,86.88,3.64,"Sure, so on the one hand, you know,"
SwQhKFMxmDY,90.52,2.493,maybe I was faded to become a scientist.
SwQhKFMxmDY,93.92,2.89,I guess the two things that are relevant there
SwQhKFMxmDY,96.81,2.16,are I always loved animals
SwQhKFMxmDY,98.97,2.52,and I've always been obsessed with animal behavior.
SwQhKFMxmDY,101.49,4.14,"Like just could watch Cousteau shows growing up, you know"
SwQhKFMxmDY,105.63,4.38,"underwater life or animals hunting, animals doing anything."
SwQhKFMxmDY,110.01,3.06,"It's just so fascinating to me because I'm, I think even"
SwQhKFMxmDY,113.07,1.9,"at a really young age, I've always just been intrigued"
SwQhKFMxmDY,114.97,2.5,in sort of what drives different animals to behave
SwQhKFMxmDY,117.47,3.48,"in the way they do and how body form matches to,"
SwQhKFMxmDY,120.95,0.833,"I didn't know what it was,"
SwQhKFMxmDY,121.783,2.077,but brains and how that all works.
SwQhKFMxmDY,123.86,2.323,So I've always been obsessed with animals.
SwQhKFMxmDY,127.193,4.027,"And then my dad's a scientist, so he's a physicist."
SwQhKFMxmDY,131.22,2.33,It was really early in chaos theory.
SwQhKFMxmDY,133.55,3.89,"And so growing up in our home, you know, we had scientists"
SwQhKFMxmDY,137.44,2.81,over for dinner and graduate students would come over
SwQhKFMxmDY,140.25,1.11,for barbecues and things like that.
SwQhKFMxmDY,141.36,1.61,Is he a Stanford professor?
SwQhKFMxmDY,142.97,1.64,"Yeah, he was at Stanford."
SwQhKFMxmDY,144.61,2.45,"He was mostly at Xerox Park, which is kind of famous"
SwQhKFMxmDY,147.06,2.2,"if you read the Steve Jobs book is for the, yeah."
SwQhKFMxmDY,149.26,1.46,The development of the gooey interface
SwQhKFMxmDY,150.72,1.634,the graphical user interface
SwQhKFMxmDY,152.354,1.136,and sort of early days of the computer.
SwQhKFMxmDY,153.49,2.27,So he had a lab there and he had a lab in applied physics
SwQhKFMxmDY,155.76,2.49,at Stanford and something called symbolic systems
SwQhKFMxmDY,158.25,1.29,which is a Stanford degree
SwQhKFMxmDY,159.54,2.9,"in kind of ecology and computation, that kind of thing."
SwQhKFMxmDY,162.44,4.05,So I grew up in this family where science was very prominent
SwQhKFMxmDY,166.49,2.87,and we had lots of discussions
SwQhKFMxmDY,169.36,1.35,in our home that I would overhear
SwQhKFMxmDY,170.71,3.44,and I didn't understand about physics and we'd spend summers
SwQhKFMxmDY,174.15,2.58,"at the Aspen Center for Physics, which was like-"
SwQhKFMxmDY,176.73,1.99,"Good times.
Yeah, so, you know,"
SwQhKFMxmDY,178.72,1.46,"and we were, and to be clear, you know,"
SwQhKFMxmDY,180.18,1.0,"you hear the word Aspen, you know,"
SwQhKFMxmDY,181.18,2.23,we were a middle-class family
SwQhKFMxmDY,183.41,1.46,but they have this Aspen Center for Physics.
SwQhKFMxmDY,184.87,2.98,"So the Feynman, you know, Richard Feynman was there,"
SwQhKFMxmDY,187.85,0.833,"Murray Gell-mann,"
SwQhKFMxmDY,188.683,2.447,"like all these luminaries of physics, Peter Carruthers."
SwQhKFMxmDY,191.13,2.57,And my dad was really good at telling me the stories
SwQhKFMxmDY,193.7,2.429,about these guys and then I'd always wanna meet them.
SwQhKFMxmDY,196.129,0.841,"And it was mostly guys back then,"
SwQhKFMxmDY,196.97,1.04,there weren't many women in physics.
SwQhKFMxmDY,198.01,3.15,"So I, you know, I was kind of immersed in science"
SwQhKFMxmDY,201.16,5.0,"from a young age, but right about age 13,"
SwQhKFMxmDY,206.46,1.29,my parents split up.
SwQhKFMxmDY,207.75,2.69,"And he moved overseas, he moved to Denmark"
SwQhKFMxmDY,210.44,4.14,and my mom was really struggling with the breakup
SwQhKFMxmDY,214.58,2.29,and I wasn't in contact with him anymore.
SwQhKFMxmDY,216.87,3.22,"So I had this really unusual childhood where, you know,"
SwQhKFMxmDY,220.09,1.92,"we didn't talk about sports, we talked about science,"
SwQhKFMxmDY,222.01,1.937,and I had this close relationship with science
SwQhKFMxmDY,223.947,1.863,and the people around science
SwQhKFMxmDY,225.81,2.25,but then all of a sudden the structure around family
SwQhKFMxmDY,228.06,2.08,"like instead of dinners together every night,"
SwQhKFMxmDY,230.14,2.061,it was just like me and my mom
SwQhKFMxmDY,232.201,2.159,"and I was an adolescent, I was hitting puberty."
SwQhKFMxmDY,234.36,3.14,"So, you know, there was bound to be some shifts"
SwQhKFMxmDY,237.5,3.89,in my world landscape and internal landscape anyway.
SwQhKFMxmDY,241.39,2.39,"But basically what happened was, I stopped"
SwQhKFMxmDY,243.78,1.28,really paying attention to school.
SwQhKFMxmDY,245.06,2.36,And I got really heavily into skateboarding
SwQhKFMxmDY,247.42,1.16,and the kind of punk rock music.
SwQhKFMxmDY,248.58,3.66,And I found my pack or my community
SwQhKFMxmDY,252.24,2.433,through like packing community of kids
SwQhKFMxmDY,254.673,1.997,that also just were kind of parentless.
SwQhKFMxmDY,256.67,2.71,"So this was like late 80s, early 90s."
SwQhKFMxmDY,259.38,2.187,"And so at a pretty young age, I started taking the,"
SwQhKFMxmDY,261.567,1.056,I grew up in Palo Alto.
SwQhKFMxmDY,262.623,2.567,I was actually born at Stanford Hospital.
SwQhKFMxmDY,265.19,1.86,I started taking the seven F bus up to San Francisco
SwQhKFMxmDY,267.05,2.27,and hanging around in Embarcadero.
SwQhKFMxmDY,269.32,1.68,"For the skateboarders out there, the Lizards,"
SwQhKFMxmDY,271.0,4.17,this is the the now famous EMB crowd.
SwQhKFMxmDY,275.17,3.01,So this was the birth of a huge movement
SwQhKFMxmDY,278.18,2.27,of skateboarders that became professionals.
SwQhKFMxmDY,280.45,2.18,"Like, so you'd see the young Danny Way"
SwQhKFMxmDY,282.63,3.24,would come through town and you had Rob Dyrdek.
SwQhKFMxmDY,285.87,1.478,I remember when he came through.
SwQhKFMxmDY,287.348,2.792,So all these names that eventually became popular
SwQhKFMxmDY,290.14,3.02,"during the kind of X games era and the,"
SwQhKFMxmDY,293.16,1.6,but at that time it was really underground.
SwQhKFMxmDY,294.76,3.69,And so it was this pack of maybe a hundred guys
SwQhKFMxmDY,298.45,3.4,and it was run like a little city and it was chaos.
SwQhKFMxmDY,301.85,1.3,"It was like there was fights,"
SwQhKFMxmDY,303.15,3.39,"and there was drinking and there was lawlessness,"
SwQhKFMxmDY,306.54,2.12,there was also a lot of amazing skateboarding
SwQhKFMxmDY,308.66,1.27,and there were a lot of amazing people.
SwQhKFMxmDY,309.93,1.813,"And there were some older guys,"
SwQhKFMxmDY,312.76,2.66,"like one in particular, a very famous skateboarder,"
SwQhKFMxmDY,315.42,0.89,"is this kid, Mike Carroll,"
SwQhKFMxmDY,316.31,1.99,his older brother was kind of like the older brother
SwQhKFMxmDY,318.3,2.01,"to everybody, kind of kept us all in check."
SwQhKFMxmDY,320.31,2.41,So it had its own unique organization.
SwQhKFMxmDY,322.72,1.51,And it's actually interesting
SwQhKFMxmDY,324.23,1.71,'cause the same thing was happening at that time
SwQhKFMxmDY,325.94,1.85,"in Washington Square Park in New York,"
SwQhKFMxmDY,327.79,2.55,"and at Love Park in Philadelphia, there were all these"
SwQhKFMxmDY,330.34,2.76,like communities of kids that were basically parentless.
SwQhKFMxmDY,333.1,2.8,And so in that time I saw some interesting things.
SwQhKFMxmDY,335.9,2.0,"First of all, I learned what it was to be parentless."
SwQhKFMxmDY,337.9,1.43,"Growing up in Palo Alto,"
SwQhKFMxmDY,339.33,3.03,"it was like soccer games and AYSO and you know,"
SwQhKFMxmDY,342.36,3.358,"swim club and all of a sudden I realized, you know,"
SwQhKFMxmDY,345.718,1.602,"I don't have to be home at any particular time,"
SwQhKFMxmDY,347.32,4.3,"or, you know, none of these kids are going to school."
SwQhKFMxmDY,351.62,2.77,"And so we all, it was kind of a big group of truants."
SwQhKFMxmDY,354.39,3.74,And it was interesting because it gave me a perspective
SwQhKFMxmDY,358.13,2.64,that I had never had in Palo Alto.
SwQhKFMxmDY,360.77,1.88,And I was drifting further and further away
SwQhKFMxmDY,362.65,2.84,from any kind of academic rigor.
SwQhKFMxmDY,365.49,2.77,I think I would go to school every once in a while.
SwQhKFMxmDY,368.26,0.88,What's mom doing?
SwQhKFMxmDY,369.14,0.99,Does she have any idea
SwQhKFMxmDY,370.13,1.64,that you're going up to the city every day?
SwQhKFMxmDY,371.77,2.09,So she was totally checked out.
SwQhKFMxmDY,373.86,1.51,"You know, I think she was just devastated"
SwQhKFMxmDY,375.37,1.697,by a bunch of things that were happening
SwQhKFMxmDY,377.067,3.393,and she lapsed into a pretty serious depression.
SwQhKFMxmDY,380.46,3.89,"And then in that community, what was interesting is,"
