video_id,start,duration,text
EKQIrwg5YWM,1.964,2.02,[music]
EKQIrwg5YWM,4.24,4.24,I said to my homeboy that I was incel
EKQIrwg5YWM,6.24,4.0,one day and he was like that's not true.
EKQIrwg5YWM,8.48,4.48,I said of course it is. I said [music] I
EKQIrwg5YWM,10.24,5.04,am celibate and it is very involuntary.
EKQIrwg5YWM,12.96,3.84,These are this is what incel means.
EKQIrwg5YWM,15.28,3.52,Involuntary celibate. Yes.
EKQIrwg5YWM,16.8,3.2,>> I would love to be having sex. There's
EKQIrwg5YWM,18.8,2.72,nothing better than having your legs in
EKQIrwg5YWM,20.0,4.235,the air. And yet
EKQIrwg5YWM,21.52,3.999,">> Trevor, do you agree?"
EKQIrwg5YWM,24.235,3.124,[laughter]
EKQIrwg5YWM,25.519,3.281,>> Get up. Can I tell you what's funny is
EKQIrwg5YWM,27.359,2.721,>> tell me when your legs in the air
EKQIrwg5YWM,28.8,3.04,>> is that you made me [laughter] you made
EKQIrwg5YWM,30.08,2.88,me picture my legs in the air. That's
EKQIrwg5YWM,31.84,1.36,what I hate about what you did to me
EKQIrwg5YWM,32.96,1.279,there.
EKQIrwg5YWM,33.2,2.96,>> That's what good friends are for.
EKQIrwg5YWM,34.239,2.801,>> That's what you did to me there. You
EKQIrwg5YWM,36.16,1.52,made me
EKQIrwg5YWM,37.04,2.24,>> anytime
EKQIrwg5YWM,37.68,2.96,>> because you ASKED IT. [screaming] MY
EKQIrwg5YWM,39.28,3.279,FIRST INSTINCT [laughter] MY FIRST
EKQIrwg5YWM,40.64,3.599,INSTINCT WAS TO defend myself.
EKQIrwg5YWM,42.559,3.281,>> But the first thought I had
EKQIrwg5YWM,44.239,3.441,>> the first thought I had was me with my
EKQIrwg5YWM,45.84,3.44,own legs in the air. Whenever I hear
EKQIrwg5YWM,47.68,3.28,"something enjoyable, I think of who"
EKQIrwg5YWM,49.28,4.4,could enjoy this more [laughter]
EKQIrwg5YWM,50.96,5.04,and my friend comes to mind and I'm
EKQIrwg5YWM,53.68,4.559,"thinking, look, there's an opportunity"
EKQIrwg5YWM,56.0,4.239,for someone's legs.
EKQIrwg5YWM,58.239,3.12,Who would enjoy? [laughter]
EKQIrwg5YWM,60.239,2.48,>> He's an idiot.
EKQIrwg5YWM,61.359,2.0,>> Who would enjoy this?
EKQIrwg5YWM,62.719,2.08,>> Stop talking.
EKQIrwg5YWM,63.359,3.041,>> Who would enjoy this more?
EKQIrwg5YWM,64.799,3.281,">> So,"
EKQIrwg5YWM,66.4,2.64,"no, no, wait. I appreciate that about"
EKQIrwg5YWM,68.08,2.64,you. You a fool.
EKQIrwg5YWM,69.04,3.665,">> So, let's go back. This friend is a dumb"
EKQIrwg5YWM,70.72,4.005,dumb.
EKQIrwg5YWM,72.705,2.02,[music]
EKQIrwg5YWM,76.96,5.08,"This is What now with Trevor Noah,"
EKQIrwg5YWM,87.115,2.02,[music]
EKQIrwg5YWM,90.24,4.16,right? Only difference between me and a
EKQIrwg5YWM,91.759,3.601,Dominican is a boat stop. That's it. I
EKQIrwg5YWM,94.4,2.32,could have been Mexican. I could have
EKQIrwg5YWM,95.36,3.52,been Dominican. I could have from Costa
EKQIrwg5YWM,96.72,4.88,"Rica. But instead, I'm from We landed"
EKQIrwg5YWM,98.88,4.879,here. So if I go to any of those
EKQIrwg5YWM,101.6,5.28,"diaspora places, no one's questioning my"
EKQIrwg5YWM,103.759,5.281,existence. But if I go back to the
EKQIrwg5YWM,106.88,3.919,"motherland, all of a sudden it's what is"
EKQIrwg5YWM,109.04,3.359,"she doing here? And I'm like, [ __ ]"
EKQIrwg5YWM,110.799,3.521,planes fly daily. That's why I'm
EKQIrwg5YWM,112.399,3.121,>> If you kept quiet and you came to South
EKQIrwg5YWM,114.32,2.4,"Africa, no one would know you're not"
EKQIrwg5YWM,115.52,2.639,from there.
