video_id,start,duration,text
2caQ4j9oohE,0.08,8.08,I realized have the career and the life
2caQ4j9oohE,3.52,6.88,"that looks like the dream, but are you"
2caQ4j9oohE,8.16,4.399,"really happy, Emma? Are you really"
2caQ4j9oohE,10.4,4.56,healthy? And have to admit to myself
2caQ4j9oohE,12.559,4.001,that I wasn't was one of the scariest
2caQ4j9oohE,14.96,3.36,things I've ever had to do.
2caQ4j9oohE,16.56,2.559,>> The number one health and wellness
2caQ4j9oohE,18.32,1.6,"podcast,"
2caQ4j9oohE,19.119,1.601,>> J Shetty.
2caQ4j9oohE,19.92,5.119,">> J Shetty,"
2caQ4j9oohE,20.72,6.639,">> the one, the only J. Shetty."
2caQ4j9oohE,25.039,4.32,">> Emma, welcome to On Purpose. I'm so"
2caQ4j9oohE,27.359,3.84,grateful that you're here and
2caQ4j9oohE,29.359,3.2,>> you know you've kind of been out of the
2caQ4j9oohE,31.199,1.841,public eye for a while now.
2caQ4j9oohE,32.559,2.961,>> Yes.
2caQ4j9oohE,33.04,3.92,>> And don't do that many interviews. I've
2caQ4j9oohE,35.52,5.12,watched the interviews you have done
2caQ4j9oohE,36.96,5.68,even before we plan to do this. And I
2caQ4j9oohE,40.64,5.04,wanted to ask from an intention point
2caQ4j9oohE,42.64,5.439,almost of why now? Why today? Why here?
2caQ4j9oohE,45.68,5.359,>> I think I mentioned but I read your book
2caQ4j9oohE,48.079,5.761,um because my my dear friend Nuper told
2caQ4j9oohE,51.039,5.04,me that I should and every now and again
2caQ4j9oohE,53.84,3.68,I would see you come up on my feed. I
2caQ4j9oohE,56.079,4.8,don't spend much time on Instagram
2caQ4j9oohE,57.52,5.199,"anymore, but when I did, I just felt"
2caQ4j9oohE,60.879,5.121,like you were having a different
2caQ4j9oohE,62.719,6.481,conversation. And it's not that I have
2caQ4j9oohE,66.0,5.68,stopped doing interviews because
2caQ4j9oohE,69.2,5.04,I want to hide myself away. I think it's
2caQ4j9oohE,71.68,4.0,because I wanted to be able to have a
2caQ4j9oohE,74.24,4.08,certain type of conversation that I
2caQ4j9oohE,75.68,6.64,didn't seem able to find a space for.
2caQ4j9oohE,78.32,6.24,"And so I called Nooper and said, ""I"
2caQ4j9oohE,82.32,3.36,think I just reached out to Jay to see
2caQ4j9oohE,84.56,3.199,if you would let me come and do his
2caQ4j9oohE,85.68,4.079,"podcast on Monday."" And she was like,"
2caQ4j9oohE,87.759,3.441,"""I've been waiting for this. I wondered"
2caQ4j9oohE,89.759,3.281,"when you would do this."" I was like,"
2caQ4j9oohE,91.2,3.52,"""How did you know I was going to do it?"""
2caQ4j9oohE,93.04,4.719,"She's like, ""I don't know. I just felt"
2caQ4j9oohE,94.72,4.96,"like this was coming."" So, um, here I"
2caQ4j9oohE,97.759,4.641,am. And you said yes and the timing
2caQ4j9oohE,99.68,4.88,worked. I I contacted you last week and
2caQ4j9oohE,102.4,3.759,it's Monday and so
2caQ4j9oohE,104.56,3.199,">> well from Well, that means the world to"
2caQ4j9oohE,106.159,3.521,me. Truly. I'm so grateful for that
2caQ4j9oohE,107.759,4.481,because the few interactions and
2caQ4j9oohE,109.68,4.32,conversations we've had since then and
2caQ4j9oohE,112.24,4.32,you've sent me a few things to read over
2caQ4j9oohE,114.0,4.24,whether it's journals or reflections and
2caQ4j9oohE,116.56,4.239,honestly I I think I just said it to you
2caQ4j9oohE,118.24,3.839,a few moments ago and I mean it even if
2caQ4j9oohE,120.799,2.721,we weren't having this conversation
2caQ4j9oohE,122.079,3.521,today and you just sent me those things
2caQ4j9oohE,123.52,3.68,to reflect on myself that would have
2caQ4j9oohE,125.6,3.519,already been a gift and so the
2caQ4j9oohE,127.2,3.759,opportunity to actually sit with you and
2caQ4j9oohE,129.119,4.241,to talk about these things and have the
2caQ4j9oohE,130.959,4.081,space to have a conversation that you
2caQ4j9oohE,133.36,2.72,feel you haven't had before means the
2caQ4j9oohE,135.04,3.6,world to me and so thank you for
2caQ4j9oohE,136.08,4.0,trusting me and it's I I look forward to
2caQ4j9oohE,138.64,3.44,getting to know you so much better. But
2caQ4j9oohE,140.08,3.519,let's let's dive in. I want I wanted to
2caQ4j9oohE,142.08,3.92,start by asking you like you said
2caQ4j9oohE,143.599,3.521,something there that was really
2caQ4j9oohE,146.0,2.319,beautiful because you stopped for a
2caQ4j9oohE,147.12,2.4,moment then you said it's easier to be
2caQ4j9oohE,148.319,3.201,honest
2caQ4j9oohE,149.52,3.68,>> and and I was wanted to understand what
2caQ4j9oohE,151.52,4.32,that what that meant to you and how that
2caQ4j9oohE,153.2,4.96,feels. Such a big part of my job was
2caQ4j9oohE,155.84,4.24,trying to think three steps ahead of how
2caQ4j9oohE,158.16,3.92,everything that I would say would be
2caQ4j9oohE,160.08,4.96,could negatively impact the film that I
2caQ4j9oohE,162.08,6.96,was trying to do justice to and do
2caQ4j9oohE,165.04,5.919,service to and make sure that people
2caQ4j9oohE,169.04,4.16,understood what the director had
2caQ4j9oohE,170.959,6.161,intended and I felt this enormous sense
2caQ4j9oohE,173.2,7.28,of responsibility all the time to honor
2caQ4j9oohE,177.12,6.32,so many people's work that put together
2caQ4j9oohE,180.48,5.44,something like a film or you know even
2caQ4j9oohE,183.44,5.84,to some degree. I just did a fragrance
2caQ4j9oohE,185.92,5.52,with Prada and it's the first perfume
2caQ4j9oohE,189.28,5.44,bottle that you can like refill and I
2caQ4j9oohE,191.44,6.079,don't know I I take my job seriously I
2caQ4j9oohE,194.72,5.84,guess and so interviews to me felt a lot
2caQ4j9oohE,197.519,5.121,like chess and it required so much
2caQ4j9oohE,200.56,4.48,energy and I think what's nice about the
2caQ4j9oohE,202.64,4.48,way that I'm showing up today is I'm
2caQ4j9oohE,205.04,5.199,just showing up for myself and for once.
2caQ4j9oohE,207.12,5.119,I actually am not here to um speak on
2caQ4j9oohE,210.239,5.92,behalf of anyone else or anything else
2caQ4j9oohE,212.239,5.841,"other than myself, which is unusual."
2caQ4j9oohE,216.159,4.16,>> Yeah. I think I think it's such a
2caQ4j9oohE,218.08,4.32,"fascinating thing because as a viewer,"
2caQ4j9oohE,220.319,3.121,even before I got closer to the
2caQ4j9oohE,222.4,4.0,"industry,"
2caQ4j9oohE,223.44,5.84,">> as a viewer, everything's made to feel"
2caQ4j9oohE,226.4,5.44,in traditional media so
2caQ4j9oohE,229.28,3.519,easy and it has levity and it feels like
2caQ4j9oohE,231.84,3.36,you're getting someone's real
2caQ4j9oohE,232.799,5.201,personality and and then you realize
