video_id,start,duration,text
fjQwQ21jLCE,0.0,3.0,foreign
fjQwQ21jLCE,3.67,8.27,[Music]
fjQwQ21jLCE,7.94,6.279,what shouldn't be embarrassing but is oh
fjQwQ21jLCE,11.94,4.259,I did I haven't obviously same again
fjQwQ21jLCE,14.219,4.621,always I've seen the title I haven't
fjQwQ21jLCE,16.199,5.221,read it okay cool cool getting caught
fjQwQ21jLCE,18.84,6.14,having a conversation with yourself oh
fjQwQ21jLCE,21.42,3.56,wow has that happened to you
fjQwQ21jLCE,26.279,8.341,yes yeah it actually happened
fjQwQ21jLCE,30.359,6.54,the other day bro I was in the car and
fjQwQ21jLCE,34.62,3.84,it was like you know when you're
fjQwQ21jLCE,36.899,3.781,cool I had to set myself because I had
fjQwQ21jLCE,38.46,3.96,to just make sure it wasn't with you
fjQwQ21jLCE,40.68,2.82,Okay it definitely wasn't with you but I
fjQwQ21jLCE,42.42,2.34,had to take myself because in my
fjQwQ21jLCE,43.5,2.7,imagination I just saw you in the
fjQwQ21jLCE,44.76,3.119,passenger okay but it wasn't with you
fjQwQ21jLCE,46.2,4.62,okay cool but yeah there's been an
fjQwQ21jLCE,47.879,5.761,occasion where I've been like having a
fjQwQ21jLCE,50.82,5.399,full-blown conversation with myself in
fjQwQ21jLCE,53.64,4.739,my head in the Silence of this guy it
fjQwQ21jLCE,56.219,4.141,was with you it was on the way to the JD
fjQwQ21jLCE,58.379,3.601,and coping the other day okay it was on
fjQwQ21jLCE,60.36,4.199,the way to the JD coping the other day
fjQwQ21jLCE,61.98,4.38,wow yeah bro I was we were just driving
fjQwQ21jLCE,64.559,4.56,in silence yeah yeah when we got back
fjQwQ21jLCE,66.36,4.68,from L.A we're driving in silence and
fjQwQ21jLCE,69.119,3.421,you obviously it was so minor you
fjQwQ21jLCE,71.04,4.74,wouldn't have even noticed okay but
fjQwQ21jLCE,72.54,5.04,literally it's completely silent
fjQwQ21jLCE,75.78,3.42,and then I went
fjQwQ21jLCE,77.58,3.6,from what you would have heard it would
fjQwQ21jLCE,79.2,3.419,have been me like I don't know
fjQwQ21jLCE,81.18,3.299,that's all you would have yeah and you
fjQwQ21jLCE,82.619,2.761,were like what and I was like what and
fjQwQ21jLCE,84.479,2.881,you were like Oh I thought you said
fjQwQ21jLCE,85.38,3.54,something I was like nah okay bam my
fjQwQ21jLCE,87.36,3.899,heart was racing because I was having a
fjQwQ21jLCE,88.92,4.1,full-blown conversation and you kind of
fjQwQ21jLCE,91.259,5.22,verbal and I just I got carried away
fjQwQ21jLCE,93.02,4.9,yeah yeah and you were like what I said
fjQwQ21jLCE,96.479,3.0,what you were like bro I thought you
fjQwQ21jLCE,97.92,3.839,said something and I was like no no no
fjQwQ21jLCE,99.479,4.861,no okay and you allowed cool you just
fjQwQ21jLCE,101.759,5.581,moved ones yeah yeah and I was like wow
fjQwQ21jLCE,104.34,4.5,my imagination's running wild it happens
fjQwQ21jLCE,107.34,4.68,with me but more time when I'm like
fjQwQ21jLCE,108.84,5.459,watching football that I I talk to
fjQwQ21jLCE,112.02,3.66,myself I'm talking to the screen but I'm
fjQwQ21jLCE,114.299,3.061,also talking to myself yeah having a
fjQwQ21jLCE,115.68,3.66,conversation with myself about what
fjQwQ21jLCE,117.36,3.299,United should do better yeah I know what
fjQwQ21jLCE,119.34,2.639,you agree with you I'm a green oneself
fjQwQ21jLCE,120.659,2.581,or disagree with myself whoever's
fjQwQ21jLCE,121.979,3.481,listening is listening whoever's not is
fjQwQ21jLCE,123.24,4.199,not yeah I mean I'm just in the zone I'm
fjQwQ21jLCE,125.46,3.96,just saying stuff
fjQwQ21jLCE,127.439,4.8,um when you give someone a compliment
fjQwQ21jLCE,129.42,5.76,but they didn't hear you
fjQwQ21jLCE,132.239,4.441,tough tough tough tough tough waving
fjQwQ21jLCE,135.18,3.059,back at someone who actually isn't
fjQwQ21jLCE,136.68,5.76,waving at you by the person behind you
fjQwQ21jLCE,138.239,6.181,that's happened to me so many times
fjQwQ21jLCE,142.44,3.18,double down you know you already know
fjQwQ21jLCE,144.42,2.1,it's happened to me it's happened of
fjQwQ21jLCE,145.62,2.699,course I know it's happened to Double
fjQwQ21jLCE,146.52,4.079,Down was the one of the worst things
fjQwQ21jLCE,148.319,3.601,happened to me more than that was I
fjQwQ21jLCE,150.599,3.601,can't remember where we were but I think
fjQwQ21jLCE,151.92,4.08,we're at an event because you were there
fjQwQ21jLCE,154.2,3.3,but I don't think you saw
fjQwQ21jLCE,156.0,5.4,uh for the life of me can't remember
fjQwQ21jLCE,157.5,5.28,what event it was I saw someone like it
fjQwQ21jLCE,161.4,2.4,was he was given an expression like he
fjQwQ21jLCE,162.78,3.98,wanted to help me kind of thing like
fjQwQ21jLCE,163.8,5.04,handshake blah blah blah so oh my God
fjQwQ21jLCE,166.76,4.72,handshake yeah I went for a handshake
fjQwQ21jLCE,168.84,4.08,the no everything bro didn't know who
fjQwQ21jLCE,171.48,2.64,the brother was but I thought he was
fjQwQ21jLCE,172.92,3.06,just saying wow go and love your [ __ ]
fjQwQ21jLCE,174.12,4.5,that was my immediate assumption because
fjQwQ21jLCE,175.98,4.32,he looked in my direction and I was
fjQwQ21jLCE,178.62,3.24,thinking I did look back one of them was
fjQwQ21jLCE,180.3,3.719,little bit for you know handshake
fjQwQ21jLCE,181.86,4.2,whatever spot boom boom boom kept on
fjQwQ21jLCE,184.019,4.261,walking and looks back immediately
fjQwQ21jLCE,186.06,4.259,spotted the person behind me immediately
fjQwQ21jLCE,188.28,2.94,handshaking the person behind me I was
fjQwQ21jLCE,190.319,3.481,like damn
fjQwQ21jLCE,191.22,3.96,this wasn't meant for me I just kept it
fjQwQ21jLCE,193.8,3.659,moving I can't remember what event it
fjQwQ21jLCE,195.18,3.36,was James but you were there really you
fjQwQ21jLCE,197.459,3.601,were there I can't remember whatever it
fjQwQ21jLCE,198.54,4.14,was I would I could yeah yeah I couldn't
fjQwQ21jLCE,201.06,4.38,I couldn't vocalize what happened yeah
fjQwQ21jLCE,202.68,5.94,yeah yeah yeah yeah I was scream if I
fjQwQ21jLCE,205.44,6.78,saw that yeah yeah it was it was Pig
fjQwQ21jLCE,208.62,5.339,it was Peak bro yeah yeah that felt
fjQwQ21jLCE,212.22,5.46,illegal yeah
fjQwQ21jLCE,213.959,6.06,that's so illegal bro it was it was so
fjQwQ21jLCE,217.68,3.9,embarrassing Jesus it was so bad I
fjQwQ21jLCE,220.019,2.881,couldn't I couldn't sit with that that
fjQwQ21jLCE,221.58,4.439,would bring me to my knees right I'll
fjQwQ21jLCE,222.9,5.22,squat down it's so annoying bro jeez
fjQwQ21jLCE,226.019,2.94,yeah Peak he actually did that for you
fjQwQ21jLCE,228.12,3.3,as well
fjQwQ21jLCE,228.959,5.221,he just found it bro he fully charged it
fjQwQ21jLCE,231.42,4.62,fair enough I'm not gonna stop him yeah
fjQwQ21jLCE,234.18,3.3,you just charge it wow so yeah props to
fjQwQ21jLCE,236.04,3.779,my man whoever it was I can't remember
fjQwQ21jLCE,237.48,4.14,where it was but yeah
fjQwQ21jLCE,239.819,3.721,um card getting declined because you
fjQwQ21jLCE,241.62,3.179,don't have the sorry card getting the
fjQwQ21jLCE,243.54,2.6,client because you have to approve the
fjQwQ21jLCE,244.799,3.181,transaction
fjQwQ21jLCE,246.14,3.519,that never happened to me but that's
fjQwQ21jLCE,247.98,4.08,Jared oh that's happened to me that
fjQwQ21jLCE,249.659,4.44,happened to me in shoreditch in the
fjQwQ21jLCE,252.06,3.899,hotel I went to
fjQwQ21jLCE,254.099,3.181,[ __ ] business account yeah they
fjQwQ21jLCE,255.959,3.24,thought I was doing unusual spending
fjQwQ21jLCE,257.28,4.5,they declined it three times oh I
fjQwQ21jLCE,259.199,4.621,remember you saying yeah three times bro
fjQwQ21jLCE,261.78,3.06,I had to use my personal card and she
fjQwQ21jLCE,263.82,3.36,was like you sure you don't want to use
fjQwQ21jLCE,264.84,7.5,a different card and I was like bro no
fjQwQ21jLCE,267.18,5.16,yeah I wanted to show it yeah
fjQwQ21jLCE,272.639,4.261,yeah when they ask you sure you don't
fjQwQ21jLCE,275.04,4.159,want to use a different card that's AKA
fjQwQ21jLCE,276.9,5.4,you're broke stop embarrassing everyone
fjQwQ21jLCE,279.199,5.021,fam borrow it yeah facts get out of your
fjQwQ21jLCE,282.3,2.76,CC and borrow it call whoever you need
fjQwQ21jLCE,284.22,2.22,to call
fjQwQ21jLCE,285.06,3.38,are you sure you don't want to use a
fjQwQ21jLCE,286.44,4.56,different cards
fjQwQ21jLCE,288.44,5.86,don't talk to me like that
fjQwQ21jLCE,291.0,6.96,upgrade me facts oh great how about that
fjQwQ21jLCE,294.3,5.7,yeah for two nights yeah I'm spending
fjQwQ21jLCE,297.96,6.86,what shouldn't be embarrassing but is
fjQwQ21jLCE,300.0,4.82,this one flushing twice
fjQwQ21jLCE,309.419,6.84,Shing twice
fjQwQ21jLCE,312.08,6.76,yeah bro that that that's when you know
fjQwQ21jLCE,316.259,3.841,you had a healthy damage because you've
fjQwQ21jLCE,318.84,3.06,done damaging that buff yeah in that
fjQwQ21jLCE,320.1,3.3,toilet oh that was that's crazy this
fjQwQ21jLCE,321.9,5.82,happened to me I'm just gonna say it
fjQwQ21jLCE,323.4,6.66,yeah this happened to me two days ago so
fjQwQ21jLCE,327.72,4.5,I've told you before
fjQwQ21jLCE,330.06,7.16,if you're constipated yeah you drink
fjQwQ21jLCE,332.22,7.199,pre-workout your pattern yeah yeah
fjQwQ21jLCE,337.22,3.34,I must have went to train with Lewis and
fjQwQ21jLCE,339.419,3.421,David Lloyd the other day right okay
fjQwQ21jLCE,340.56,4.8,[ __ ] this
fjQwQ21jLCE,342.84,4.56,oh my God I went to the other day I had
fjQwQ21jLCE,345.36,4.44,a pre-workout on the way yeah and then
fjQwQ21jLCE,347.4,4.2,when I got there he's like oh there's
fjQwQ21jLCE,349.8,3.78,this new flavor of Red Bull I got you
fjQwQ21jLCE,351.6,3.36,one I was like oh no yeah so I've
fjQwQ21jLCE,353.58,3.54,already had this yeah now I'm having a
fjQwQ21jLCE,354.96,4.799,Red Bull daddy that's not good
fjQwQ21jLCE,357.12,3.72,my guts were cooking I bet and we sat
fjQwQ21jLCE,359.759,4.081,down and chatted for like 10 minutes
fjQwQ21jLCE,360.84,3.0,yeah
fjQwQ21jLCE,365.4,4.019,so as soon as he was like right you
fjQwQ21jLCE,367.68,3.84,ready to train I said family go to
fjQwQ21jLCE,369.419,4.141,toilet spring into the toilet
fjQwQ21jLCE,371.52,4.44,slam the door and I was breathing
fjQwQ21jLCE,373.56,5.54,through I slammed the door I'd like had
fjQwQ21jLCE,375.96,5.4,to like take my shirt off with one hand
fjQwQ21jLCE,379.1,4.78,you just saw the toilet before the first
fjQwQ21jLCE,381.36,4.679,push you have to yeah I know it already
fjQwQ21jLCE,383.88,4.259,before the first push you have to
fjQwQ21jLCE,386.039,3.481,regulate your breath because if the
fjQwQ21jLCE,388.139,3.84,first push is too hard your breath is
fjQwQ21jLCE,389.52,5.179,all over the place all over the place
fjQwQ21jLCE,391.979,7.201,you gotta regulate the whole thing
fjQwQ21jLCE,394.699,7.421,oh oh it's painful thinking about it
fjQwQ21jLCE,399.18,5.76,it's painful it was scary yeah so anyway
fjQwQ21jLCE,402.12,4.919,I'm there shit's down to my ankles I'm
fjQwQ21jLCE,404.94,5.099,breathing I took a deep breath
fjQwQ21jLCE,407.039,3.0,sorry
fjQwQ21jLCE,410.759,5.88,it [ __ ] flew out of me yeah
fjQwQ21jLCE,413.52,5.22,and I was there just ah
fjQwQ21jLCE,416.639,3.361,and this one at my bro you know the
fjQwQ21jLCE,418.74,3.179,thing you get in your tool before you
fjQwQ21jLCE,420.0,3.78,nut yeah your pulsating yeah that's what
fjQwQ21jLCE,421.919,3.0,my [ __ ] was doing bro it's Paul
fjQwQ21jLCE,423.78,3.12,saying because it didn't know if there
fjQwQ21jLCE,424.919,4.321,was more of that oh I didn't know if
fjQwQ21jLCE,426.9,3.96,there's more if it was done oh my God my
fjQwQ21jLCE,429.24,4.44,whole thing was marked bro and I was
fjQwQ21jLCE,430.86,5.58,like raw yeah anyway
