video_id,start,duration,text
dksVzowXBnI,0.04,5.6,you two are bad friends who are these
dksVzowXBnI,2.28,5.96,two idiots a white dude and an Asian
dksVzowXBnI,5.64,5.24,dude you two are
dksVzowXBnI,8.24,7.92,disgusting you two are something we're
dksVzowXBnI,10.88,5.28,bad friends is it uncomfortable it's not
dksVzowXBnI,18.119,3.841,uncomfortable you know what we should do
dksVzowXBnI,20.08,4.4,we should get the nicest chairs we can
dksVzowXBnI,21.96,4.239,we can find like really highend but only
dksVzowXBnI,24.48,4.16,one of them so then if we have two
dksVzowXBnI,26.199,4.08,guests one of the the best guest gets it
dksVzowXBnI,28.64,3.639,you I don't even know why where you buy
dksVzowXBnI,30.279,5.241,chairs where do you buy chairs where
dksVzowXBnI,32.279,4.921,would you buy chairs uh I do some Amazon
dksVzowXBnI,35.52,4.12,uh purchasing of now I haven't bought
dksVzowXBnI,37.2,5.039,any chairs on yeah yeah no but I have
dksVzowXBnI,39.64,4.96,bought like camping chairs on Amazon
dksVzowXBnI,42.239,4.8,yeah and if you go high-end camping
dksVzowXBnI,44.6,4.72,chair you can go like zero grav I've
dksVzowXBnI,47.039,4.441,gotten a zero grab chair on Amazon
dksVzowXBnI,49.32,4.2,what's a zero grav it makes you feel
dksVzowXBnI,51.48,3.919,like it's zero gravity where you feel
dksVzowXBnI,53.52,4.519,like you're floating but reallya dud
dksVzowXBnI,55.399,4.32,it's just the angle of that Barka Lounge
dksVzowXBnI,58.039,4.16,W I think I need one cuz I play stardo
dksVzowXBnI,59.719,4.8,Valley so much uh-huh that like my back
dksVzowXBnI,62.199,3.841,is beginning to hurt you it's probably a
dksVzowXBnI,64.519,3.201,symptom of playing too much video games
dksVzowXBnI,66.04,3.399,yeah I think I like hunch over like this
dksVzowXBnI,67.72,3.68,and I also kind of dip whoa look at that
dksVzowXBnI,69.439,3.841,zero gravity gaming chair whoa that's
dksVzowXBnI,71.4,4.56,what I want scorpion yeah does it come
dksVzowXBnI,73.28,4.68,with a girl or no yeah not that I would
