video_id,start,duration,text
5GhIcZSDtcY,0.08,5.36,Imran Hussein by I couldn't have thought
5GhIcZSDtcY,2.52,4.359,of a better guest for the topic of jins
5GhIcZSDtcY,5.44,3.88,the Jin are mentioned throughout the
5GhIcZSDtcY,6.879,5.001,Holy G how come there was one amongst
5GhIcZSDtcY,9.32,3.64,the Jin who was named El if I say the
5GhIcZSDtcY,11.88,3.04,other name he's known by you'll
5GhIcZSDtcY,12.96,3.56,recognize him shaan did the good Jin
5GhIcZSDtcY,14.92,3.24,ever try interacting with us I don't
5GhIcZSDtcY,16.52,3.72,know for certain but the evil gin
5GhIcZSDtcY,18.16,4.199,definitely do do you think we live in a
5GhIcZSDtcY,20.24,4.08,world where there are Gins who've taken
5GhIcZSDtcY,22.359,3.961,the form of human beings and are public
5GhIcZSDtcY,24.32,4.24,figures as well yes I would love for you
5GhIcZSDtcY,26.32,3.879,to give context on the Quran it's the
5GhIcZSDtcY,28.56,3.44,literal words of God in the Arabic
5GhIcZSDtcY,30.199,3.52,language the Quran itself Islam doesn't
5GhIcZSDtcY,32.0,3.92,recognize itself as a religion in that
5GhIcZSDtcY,33.719,3.881,sense it's a Dean or a way of life do
5GhIcZSDtcY,35.92,3.36,you think the flip side could be true as
5GhIcZSDtcY,37.6,3.36,well where your positive thoughts are
5GhIcZSDtcY,39.28,3.52,also coming from higher beings this
5GhIcZSDtcY,40.96,3.36,happens God can direct you and guide you
5GhIcZSDtcY,42.8,2.759,you may have true dreams still exist and
5GhIcZSDtcY,44.32,2.52,it's happened to many people I've had
5GhIcZSDtcY,45.559,2.561,dreams I'm sure you've had dreams which
5GhIcZSDtcY,46.84,3.32,you know a few weeks later or a few
5GhIcZSDtcY,48.12,3.68,months later and it happens you know and
5GhIcZSDtcY,50.16,2.879,you're thinking I I saw this in a dream
5GhIcZSDtcY,51.8,2.759,I was made aware of this in a dream so
5GhIcZSDtcY,53.039,3.721,true dreams can happen as well the main
5GhIcZSDtcY,54.559,4.201,issue of this sort of postmodern or
5GhIcZSDtcY,56.76,3.52,metamodern Society is that they don't
5GhIcZSDtcY,58.76,2.959,believe in any of this anymore you know
5GhIcZSDtcY,60.28,4.08,someone said that one of the greatest
5GhIcZSDtcY,61.719,4.201,achievements of Satan is him being able
5GhIcZSDtcY,64.36,2.72,to convince people that he doesn't exist
5GhIcZSDtcY,65.92,2.519,cuz once he gets you to believe he
5GhIcZSDtcY,67.08,3.6,doesn't exist he has full control over
5GhIcZSDtcY,68.439,3.601,you right once you recognize him you
5GhIcZSDtcY,70.68,4.4,become aware of him and the way he
5GhIcZSDtcY,72.04,5.88,functions then you you're in good stad
5GhIcZSDtcY,75.08,5.64,basically often if a person is
5GhIcZSDtcY,77.92,4.92,supposedly possessed in India one of the
5GhIcZSDtcY,80.72,4.12,key things to do is to take that person
5GhIcZSDtcY,82.84,4.0,to a DH there is these traditions of
5GhIcZSDtcY,84.84,3.68,going to these peers sometimes call them
5GhIcZSDtcY,86.84,3.279,you know perer Babas unfortunately let's
5GhIcZSDtcY,88.52,4.52,be honest most of them these these guys
