video_id,start,duration,text
3hptKYix4X8,1.92,4.32,Joe Rogan podcast. Check it out.
3hptKYix4X8,4.0,4.4,>> The Joe Rogan Experience.
3hptKYix4X8,6.24,6.04,>> TRAIN BY DAY. JOE ROGAN PODCAST BY
3hptKYix4X8,8.4,3.88,NIGHT. All day.
3hptKYix4X8,12.8,2.879,">> Hello. Hey, Joe."
3hptKYix4X8,14.4,2.639,>> Good to see you again. We were just
3hptKYix4X8,15.679,3.36,talking about Was that the first time we
3hptKYix4X8,17.039,3.281,ever spoke or did was the first time we
3hptKYix4X8,19.039,1.921,spoke at at SpaceX?
3hptKYix4X8,20.32,2.24,>> SpaceX.
3hptKYix4X8,20.96,3.76,>> SpaceX. The first time when you were
3hptKYix4X8,22.56,3.44,"giving Elon that crazy AI chip,"
3hptKYix4X8,24.72,3.12,>> right? DJX Spark.
3hptKYix4X8,26.0,2.4,">> Yeah. Oo, that was a big moment. That"
3hptKYix4X8,27.84,2.48,was a huge
3hptKYix4X8,28.4,4.56,>> That felt crazy to be there. I was like
3hptKYix4X8,30.32,5.68,watching these wizards of tech like
3hptKYix4X8,32.96,5.2,exchange information and and you're
3hptKYix4X8,36.0,4.32,"giving him this crazy device, you know,"
3hptKYix4X8,38.16,5.6,and then the other time was uh I was
3hptKYix4X8,40.32,4.88,shooting arrows in my backyard and uh
3hptKYix4X8,43.76,2.72,randomly get this call from Trump and
3hptKYix4X8,45.2,2.56,he's hanging out with you. President
3hptKYix4X8,46.48,2.0,Trump called and I called you.
3hptKYix4X8,47.76,3.36,>> Yeah. It's just
3hptKYix4X8,48.48,4.32,>> we were talking about you. [laughter]
3hptKYix4X8,51.12,3.439,>> It's just talking about he was talking
3hptKYix4X8,52.8,3.04,about the US UFC thing he was going to
3hptKYix4X8,54.559,3.601,do in his front yard.
3hptKYix4X8,55.84,5.6,">> Yeah. And he pulls out. He's JJS, look"
3hptKYix4X8,58.16,6.16,at this design. He's so proud of it. And
3hptKYix4X8,61.44,4.24,"I go, ""You're going to have a fight in"
3hptKYix4X8,64.32,3.04,"the front lawn in the White House."" He"
3hptKYix4X8,65.68,3.28,"goes, ""Yeah, yeah, you're going to come."
3hptKYix4X8,67.36,3.2,"This is going to be awesome."" And he's"
3hptKYix4X8,68.96,5.519,showing me his design and how beautiful
3hptKYix4X8,70.56,5.919,"it is. And he goes, and somehow your"
3hptKYix4X8,74.479,4.081,"name comes up. He goes, ""Do you know"
3hptKYix4X8,76.479,5.396,"Joe?"" And I said, ""Yeah, I'm going to be"
3hptKYix4X8,78.56,4.8,"on his podcast."" He Let's call him."
3hptKYix4X8,81.875,2.845,[laughter]
3hptKYix4X8,83.36,3.119,>> He's like a kid.
3hptKYix4X8,84.72,3.68,>> I know. Let's call him. It's so He's
3hptKYix4X8,86.479,3.68,like a 79y old kid.
3hptKYix4X8,88.4,5.28,">> Oh, he's so incredible."
3hptKYix4X8,90.159,5.681,">> Yeah, he's an odd guy. Just very"
3hptKYix4X8,93.68,4.32,"different, you know, like the what you'd"
3hptKYix4X8,95.84,4.319,expect from him. Very different than
3hptKYix4X8,98.0,4.159,what people think of him. And also just
3hptKYix4X8,100.159,3.361,very different as a president. A guy who
3hptKYix4X8,102.159,3.681,just calls you or texts you out of the
3hptKYix4X8,103.52,3.68,"blue. Also, he makes when you te you."
3hptKYix4X8,105.84,3.279,"You have an Android, so it won't go"
3hptKYix4X8,107.2,3.44,"through with you, but with my iPhone, he"
3hptKYix4X8,109.119,4.32,makes the text go big.
3hptKYix4X8,110.64,5.2,">> Like, you know, USA is respected again."
3hptKYix4X8,113.439,4.72,like [laughter]
3hptKYix4X8,115.84,4.559,all caps and it makes the te the the the
3hptKYix4X8,118.159,6.401,text enlarge is kind of ridiculous.
3hptKYix4X8,120.399,7.521,">> Well, the the 101 Trump President Trump"
3hptKYix4X8,124.56,5.039,is very different. He he surprised me f
3hptKYix4X8,127.92,3.92,first of all he's an incredibly good
3hptKYix4X8,129.599,4.161,listener. Almost everything I've ever
3hptKYix4X8,131.84,4.64,"said to him, he's remembered."
3hptKYix4X8,133.76,5.44,>> Yeah. People don't they only want to
3hptKYix4X8,136.48,4.88,look at negative stories about him or
3hptKYix4X8,139.2,3.759,"negative narratives about him. You know,"
3hptKYix4X8,141.36,2.879,you can catch anybody on a bad day. Like
3hptKYix4X8,142.959,2.561,there's a lot of things he does where I
3hptKYix4X8,144.239,2.64,don't think he should do. Like I don't
3hptKYix4X8,145.52,3.76,think he should say to a reporter rep
3hptKYix4X8,146.879,5.761,"reporter, ""Quiet piggy."" Like that's"
3hptKYix4X8,149.28,5.28,pretty ridiculous. Also objectively
3hptKYix4X8,152.64,3.28,"funny. I mean, it's unfortunate that it"
3hptKYix4X8,154.56,3.759,happened to her. I wouldn't want that to
3hptKYix4X8,155.92,4.0,"happen to her, but it was funny. Just"
3hptKYix4X8,158.319,3.441,ridiculous that the president does that.
3hptKYix4X8,159.92,3.76,I wish he didn't do that. But other than
3hptKYix4X8,161.76,4.08,"that, like he's he's an interesting guy."
3hptKYix4X8,163.68,5.44,Like he's a lot of different things
3hptKYix4X8,165.84,5.28,"wrapped up into one person, you know?"
3hptKYix4X8,169.12,4.0,"You know, part of part of his charm,"
3hptKYix4X8,171.12,3.6,"well, part of his genius is Yes. He says"
3hptKYix4X8,173.12,2.399,what's on his mind.
3hptKYix4X8,174.72,2.879,>> Yes.
3hptKYix4X8,175.519,3.201,>> And which is like an anti-olitician in a
3hptKYix4X8,177.599,3.36,lot of ways.
3hptKYix4X8,178.72,3.599,">> So, you know, what's on his mind is"
3hptKYix4X8,180.959,3.441,"really what's on his mind,"
3hptKYix4X8,182.319,4.321,>> which
