video_id,start,duration,text
LxWiLYHEdYI,0.5,0.9,"Hey, everybody."
LxWiLYHEdYI,1.4,1.566,Welcome to another episode of what?
LxWiLYHEdYI,2.966,1.767,Now with Trevor Noah.
LxWiLYHEdYI,4.733,1.267,"Of today's episode,"
LxWiLYHEdYI,6.0,3.6,"I sit down with comedian
and international movie star."
LxWiLYHEdYI,9.6,3.7,"The one and only Kevin Hart,
and I'll let you know."
LxWiLYHEdYI,13.3,3.166,"Now, I always have fun conversations
with Kevin Hart,"
LxWiLYHEdYI,16.966,3.767,"but this conversation
may have been one of my favorites."
LxWiLYHEdYI,21.0,5.0,"I think we get into comedy, life
and everything"
LxWiLYHEdYI,26.0,3.3,"that makes Kevin Hart who he is,
and some really interesting ways."
LxWiLYHEdYI,29.7,4.033,"I really had a great time
chatting to him, and so I think"
LxWiLYHEdYI,33.9,3.0,you'll enjoy the conversation too.
LxWiLYHEdYI,39.133,3.0,But this is what now
LxWiLYHEdYI,42.4,3.0,with Trevor Noah.
LxWiLYHEdYI,53.733,2.233,Change comes to.
LxWiLYHEdYI,55.966,1.267,He comes in here with his people.
LxWiLYHEdYI,57.233,2.467,He takes all my shit.
LxWiLYHEdYI,59.7,0.833,That's sweet.
LxWiLYHEdYI,60.533,1.567,Give me a hug.
LxWiLYHEdYI,62.1,1.6,I don't look at it.
LxWiLYHEdYI,63.7,1.833,Look at fucked up my backdrop.
LxWiLYHEdYI,65.533,1.167,What happened to our stuff?
LxWiLYHEdYI,67.933,0.567,Sit down.
LxWiLYHEdYI,68.5,2.933,"Kiss your snot. Hi, there."
LxWiLYHEdYI,71.433,1.467,How are you?
LxWiLYHEdYI,72.9,1.366,Oh my God.
LxWiLYHEdYI,74.266,0.767,I'm ready.
LxWiLYHEdYI,75.033,1.333,Is this how you dress every day?
LxWiLYHEdYI,76.366,1.367,This. Yeah.
LxWiLYHEdYI,77.733,1.333,How far do you live from here?
LxWiLYHEdYI,79.066,1.7,I don't wanna talk about it.
LxWiLYHEdYI,80.766,2.167,"I don't wanna talk about it.
Make me drive so far."
LxWiLYHEdYI,82.933,2.3,"But I'll do it
because I sacrifice my time."
LxWiLYHEdYI,85.233,3.867,"I'm in Calabasas,
so it takes me an hour and 15."
LxWiLYHEdYI,89.1,2.2,"I mean, every day I come in
when I'm here."
LxWiLYHEdYI,91.3,1.3,Do I come in every day?
LxWiLYHEdYI,92.6,1.3,Yeah. So?
LxWiLYHEdYI,93.9,3.233,"So I was 15 to come in our night
because I'm leaving"
LxWiLYHEdYI,97.133,0.667,during traffic time.
LxWiLYHEdYI,97.8,2.633,"But if I wait,
then it's like a 35 minute ride."
LxWiLYHEdYI,100.433,2.033,"No traffic, 35 minutes.
That's terrible."
LxWiLYHEdYI,102.466,2.334,"Are you going to get a drone,
a drone?"
LxWiLYHEdYI,104.8,1.1,Yeah. Why?
LxWiLYHEdYI,105.9,1.2,Why am I getting a drone?
LxWiLYHEdYI,107.1,3.166,"You haven't seen the drones that are
coming out that you can fly inside."
LxWiLYHEdYI,110.3,1.066,They'll be coming out in a few years.
LxWiLYHEdYI,111.366,1.634,"They'll be little drones
that you can fly in."
LxWiLYHEdYI,113.0,1.9,Why do I want to fly on a drone?
LxWiLYHEdYI,114.9,2.4,"I want to be in traffic,
Kev. Why can't I just."
LxWiLYHEdYI,119.366,0.534,"Oh, wait."
LxWiLYHEdYI,119.9,2.4,You don't like the drones? Yeah.
LxWiLYHEdYI,122.3,1.333,Like you.
LxWiLYHEdYI,123.633,2.367,"And then you can just go.
But you're going to."
LxWiLYHEdYI,126.0,2.866,"You're going to be in a drone.
I can see you now."
LxWiLYHEdYI,128.866,2.1,"I'm not going to lie to you right
now. You're going to be in a drone."
LxWiLYHEdYI,130.966,3.067,"If you're telling me that it's
not going to fuck up my clothes"
LxWiLYHEdYI,135.4,1.866,and I can get in a drone. I'll do it.
LxWiLYHEdYI,137.266,3.367,"If you're telling me
I can, I can get in a drone."
LxWiLYHEdYI,140.666,2.267,"You know, most people
would worry about their health."
LxWiLYHEdYI,142.933,3.0,"No, no,
they gotta come with some type of."
LxWiLYHEdYI,146.4,1.933,They gotta have air bags.
LxWiLYHEdYI,148.333,1.2,That drone will have air.
LxWiLYHEdYI,149.533,2.2,"I think they do, actually. before."
LxWiLYHEdYI,151.733,2.367,"So how is it going? Everything great?
It's going good, man."
LxWiLYHEdYI,154.1,2.433,"Good for you, man.
Are you back? You're back on now."
