video_id,start,duration,text
9QXCkMTbrSk,0.56,6.04,France invented a lot of early
9QXCkMTbrSk,2.72,3.88,technologies in the world.
9QXCkMTbrSk,10.08,4.0,But today if you look the scenario the
9QXCkMTbrSk,12.0,5.279,largest technology companies in the
9QXCkMTbrSk,14.08,5.119,world are either American or Chinese.
9QXCkMTbrSk,17.279,3.76,Many of them are led by Indian origin
9QXCkMTbrSk,19.199,3.601,CEOs.
9QXCkMTbrSk,21.039,3.841,Where did France lack?
9QXCkMTbrSk,22.8,4.08,>> I I I think the missing point is first
9QXCkMTbrSk,24.88,4.799,scale not just for the French but for
9QXCkMTbrSk,26.88,5.199,all the Europeans. Second capital and
9QXCkMTbrSk,29.679,6.281,the third point we have to find more
9QXCkMTbrSk,32.079,3.881,appetite for risk.
9QXCkMTbrSk,36.0,2.879,>> France has been an all-weather friend
9QXCkMTbrSk,38.239,2.64,for India.
9QXCkMTbrSk,38.879,5.68,>> The question is no longer whether India
9QXCkMTbrSk,40.879,7.401,innovates. The question is who will
9QXCkMTbrSk,44.559,3.721,innovate with India
9QXCkMTbrSk,49.68,7.68,and France is the uni clear answer.
9QXCkMTbrSk,54.559,4.16,JO
9QXCkMTbrSk,57.36,3.76,>> do you think this is going to be an
9QXCkMTbrSk,58.719,5.121,example for the world that now the new
9QXCkMTbrSk,61.12,3.84,world order is about multipolarity? Do
9QXCkMTbrSk,63.84,1.679,you think India and France are setting
9QXCkMTbrSk,64.96,2.32,an example?
9QXCkMTbrSk,65.519,2.241,>> French president Emanuel Macron is the
9QXCkMTbrSk,67.28,2.48,chief guest.
9QXCkMTbrSk,67.76,4.24,>> French president Emanuel Macron has been
9QXCkMTbrSk,69.76,2.96,invited as the chief guest at the public
9QXCkMTbrSk,72.0,2.96,day.
9QXCkMTbrSk,72.72,4.0,>> We develop during the past few years a
9QXCkMTbrSk,74.96,5.28,series of cooperations and partnerships
9QXCkMTbrSk,76.72,5.92,in different sectors with your country.
9QXCkMTbrSk,80.24,6.239,>> I I really believe that when we team up
9QXCkMTbrSk,82.64,9.24,"we deliver. Second, we don't want to be"
9QXCkMTbrSk,86.479,5.401,dependent on one of the two big power.
9QXCkMTbrSk,92.0,3.92,We want to have good relation with the
9QXCkMTbrSk,93.92,3.68,US and China. We have different
9QXCkMTbrSk,95.92,4.4,relationship by the way with both of
9QXCkMTbrSk,97.6,6.479,them between India and France and we are
9QXCkMTbrSk,100.32,6.479,supporter of this approach.
9QXCkMTbrSk,104.079,5.441,India leapfrogged in technology. our
9QXCkMTbrSk,106.799,5.761,"Aadhaar, UPI, TG locker, things like"
9QXCkMTbrSk,109.52,5.12,this be created and got so many people
9QXCkMTbrSk,112.56,5.76,"in the system, right? If you have to bet"
9QXCkMTbrSk,114.64,6.96,"on one technology for France, which will"
9QXCkMTbrSk,118.32,5.68,"be your moonshot for 2035,"
9QXCkMTbrSk,121.6,4.479,>> quantum computer will be where we we can
9QXCkMTbrSk,124.0,3.04,take the lead and have a leadership.
9QXCkMTbrSk,126.079,2.081,">> Quantum computer,"
9QXCkMTbrSk,127.04,3.439,>> quantum technology.
9QXCkMTbrSk,128.16,3.92,>> What on earth is a quantum computer?
9QXCkMTbrSk,130.479,3.12,>> Whichever nation first develops a
9QXCkMTbrSk,132.08,3.12,practical [music] quantum computer will
9QXCkMTbrSk,133.599,3.041,have a tremendous advantage. quantum
9QXCkMTbrSk,135.2,3.2,supremacy
9QXCkMTbrSk,136.64,2.08,>> is is the work happening in the back end
9QXCkMTbrSk,138.4,2.0,like
9QXCkMTbrSk,138.72,3.76,>> yeah I think so because we have a unique
9QXCkMTbrSk,140.4,3.76,mathematicians new capacities and a lot
9QXCkMTbrSk,142.48,4.68,of very performing startups [music] and
9QXCkMTbrSk,144.16,3.0,labs
9QXCkMTbrSk,147.599,7.201,>> I saw that you announced about €109
9QXCkMTbrSk,151.76,4.8,billion one year ago for the AI
9QXCkMTbrSk,154.8,4.0,infrastructure for the technology to
9QXCkMTbrSk,156.56,4.24,lead it forward but here's a question
9QXCkMTbrSk,158.8,4.64,out of that 50 billion euro is coming
9QXCkMTbrSk,160.8,4.48,from UAE so money is foreign funded
9QXCkMTbrSk,163.44,4.4,infrastructure is going to be largely
9QXCkMTbrSk,165.28,4.319,owned by UAE. The technology and
9QXCkMTbrSk,167.84,3.36,intelligence is coming from America and
9QXCkMTbrSk,169.599,3.121,China. What's going to be sovereign
9QXCkMTbrSk,171.2,2.96,about this when it's actually
9QXCkMTbrSk,172.72,3.04,collaboration of the world not just
9QXCkMTbrSk,174.16,4.24,Europe?
9QXCkMTbrSk,175.76,4.4,If some founder is watching this or a
9QXCkMTbrSk,178.4,4.24,student who's 22 year old is watching
9QXCkMTbrSk,180.16,5.359,"this, they want to come to France then"
9QXCkMTbrSk,182.64,4.879,what does France offer which today a US
9QXCkMTbrSk,185.519,3.36,and UK doesn't offer for the young
9QXCkMTbrSk,187.519,2.8,startup founders or the [music] people
9QXCkMTbrSk,188.879,3.44,who want to build for the future.
9QXCkMTbrSk,190.319,3.521,">> A unique ecosystem. First, I want to"
9QXCkMTbrSk,192.319,3.28,convey the message to your your
9QXCkMTbrSk,193.84,4.24,"students, Indian students. If you come"
9QXCkMTbrSk,195.599,4.241,"to France, you can get access to the the"
9QXCkMTbrSk,198.08,4.4,best quality universities and high
9QXCkMTbrSk,199.84,4.8,"schools. Second, the language is clearly"
9QXCkMTbrSk,202.48,5.679,is English. And I I really believe that
9QXCkMTbrSk,204.64,6.08,France provides the unique mix of large
9QXCkMTbrSk,208.159,5.921,"companies, a lot of institutions, and at"
9QXCkMTbrSk,210.72,8.12,the same time the most vibrant startups
9QXCkMTbrSk,214.08,4.76,innovation ecosystem in Europe.
9QXCkMTbrSk,219.04,2.08,Donald Trump shared your private
9QXCkMTbrSk,220.48,2.222,messages.
9QXCkMTbrSk,221.12,2.16,>> Private message meant for diplomacy
9QXCkMTbrSk,222.702,2.978,[music]
9QXCkMTbrSk,223.28,3.12,has exploded into a public political
9QXCkMTbrSk,225.68,3.6,storm.
9QXCkMTbrSk,226.4,4.64,>> He threatened to put 200% tariff on you.
9QXCkMTbrSk,229.28,3.519,You've called this administration anti-
9QXCkMTbrSk,231.04,3.279,Europe. Does this convey something about
9QXCkMTbrSk,232.799,2.321,American leadership today? Should the
9QXCkMTbrSk,234.319,4.241,world be scared?
9QXCkMTbrSk,235.12,5.119,>> I I really believe that respect is is
9QXCkMTbrSk,238.56,4.319,part of the leadership. You can share
9QXCkMTbrSk,240.239,4.481,"ideas or not? You can disagree, but you"
9QXCkMTbrSk,242.879,3.601,have to do it in a respectful way within
9QXCkMTbrSk,244.72,3.68,democracies as well. This is why I've
9QXCkMTbrSk,246.48,4.24,always been extremely committed to fight
9QXCkMTbrSk,248.4,4.32,against any sort of hatred speech or
9QXCkMTbrSk,250.72,3.36,violence in our societies because when
9QXCkMTbrSk,252.72,3.359,"you have democracy, you have the right"
