video_id,start,duration,text
2y0wMI143bg,,,We love you. I'm so happy every time I see you. Always have fun news. Congrats. You have the number-1 movie right now. Not too shabby. That's pretty great.
2y0wMI143bg,,,Yeah!
2y0wMI143bg,,,Congrats. [ Cheers and applause ] ♪♪
2y0wMI143bg,,,Look at you.
2y0wMI143bg,,,"Yeah. It just came out yesterday, too, so that's even better."
2y0wMI143bg,,,"But this other thing is going viral on the Internet, as well. You're doing a new movie. Now, this -- it looks fantastic already just from the poster. It went viral. But you've done like 60 movies?"
2y0wMI143bg,,,Some such. I don't keep track of it.
2y0wMI143bg,,,In 20 years.
2y0wMI143bg,,,"IMDb lies. Sometimes, it's like 80. Sometimes, it's 60. I don't know."
2y0wMI143bg,,,That's a lot of movies.
2y0wMI143bg,,,"Yeah, it's a lot of movies."
2y0wMI143bg,,,But this is your return to --
2y0wMI143bg,,,Indian cinema.
2y0wMI143bg,,,Indian cinema.
2y0wMI143bg,,,"Yes. I haven't done an Indian movie in almost like six or seven years. And this movie is called ""Varanasi,"" and it is directed by S.S. Rajamouli, who is one of India's most amazingly talented directors. And it's going to be an adventure. I'm very excited about it. April '27."
2y0wMI143bg,,,The rumors are it's just epic. It's like -- It's IMAX?
2y0wMI143bg,,,"Thank you. Yes, we've shot in IMAX format, so it's going to be for IMAX theaters. It's going to be great."
2y0wMI143bg,,,And all over the world.
2y0wMI143bg,,,"All over the world, sir. Yes."
2y0wMI143bg,,,Are you still filming?
2y0wMI143bg,,,"Yes. Oh, my God. We've been filming for 14 months. We are still filming for another six."
2y0wMI143bg,,,"Another six, so 20 months of filming. Priyanka, you go big, man."
2y0wMI143bg,,,"Yeah, man. Go big or go home."
2y0wMI143bg,,,"Go big or go home. Come on. But let's talk about ""The Bluff."" Here you are. Number 1 in 28 countries."
2y0wMI143bg,,,Whoo!
2y0wMI143bg,,,People love a good...
2y0wMI143bg,,,"[ Cheers and applause ] ...a good pirate movie. Here's actually a little BTS, behind the scenes, from you. Ooh! Scary. I mean, what does your baby say when she comes and sees mom at work?"
2y0wMI143bg,,,"Oh, yes. She was -- she was... What? She must have been 2 1/2 years old that time. And she came to set, and I looked kind of like that. It's the bloodiest scene in the movie. I'm head-to-toe covered in blood. And, you know, it was Burger Day. I remember somebody had got us, like, hamburgers for the whole crew. So I was sitting there eating a hamburger when she walked in, and I think she just looked at me up and down and she was, like, trying to compute, ""Is that a boo-boo, Mama, but from your head to your toe?"""
2y0wMI143bg,,,"Yeah. That's a big boo-boo, Mama."
2y0wMI143bg,,,That's a big boo-boo.
2y0wMI143bg,,,Wow.
2y0wMI143bg,,,"But then I had to, like, explain to her. And I was like, ""This is pretend. Mama does pretend for makeup. We went into the hair-and-makeup trailer. I got her little, like, brushes. She put the blood on my face. It was really cute."
2y0wMI143bg,,,That's a really bonding moment.
2y0wMI143bg,,,Bonding moment.
2y0wMI143bg,,,Yeah. Sounds beautiful.
2y0wMI143bg,,,"My job is weird, guys. I don't know how to explain it."
2y0wMI143bg,,,"When you're filming a big action scene, what gets you pumped up? What gets you in the zone?"
2y0wMI143bg,,,"So, in this movie specifically, I really hope you all enjoy it, because, first of all, like, when do we see an amazing real pirate movie and a woman playing a pirate, which is, like, so much fun?"
2y0wMI143bg,,,Yeah.
2y0wMI143bg,,,Thank you. [ Cheers and applause ]
2y0wMI143bg,,,That's what I'm talking about.
2y0wMI143bg,,,"So I was really trying to think about iconic female action heroes in the past, and I kept thinking about The Bride from ""Kill Bill"" and her reason for why she goes on this vengeance, right? Is you're trying to take away the life that she dreamed of building. So this movie is a similar energy. How far would a parent go to protect their child? And what are you really capable of if you have to protect your kid?"
2y0wMI143bg,,,I love it.
2y0wMI143bg,,,"Yeah. So I used to listen to ""Kill Bill"" soundtrack."
2y0wMI143bg,,,Yeah. And channel your inner Uma Thurman.
2y0wMI143bg,,,"Yeah. My hair-and-makeup team, me, my wardrobe, my dresser -- all five of us would walk on, like, yeah, to ""Kill Bill"" music and just be really hype. And our director, Frank Flowers -- he's here somewhere in the audience."
2y0wMI143bg,,,Is he?
2y0wMI143bg,,,"Yeah, he's --"
2y0wMI143bg,,,"Oh, yo! Hey, bud! [ Cheers and applause ] You are very talented. You are very, very talented. It's a great movie."
2y0wMI143bg,,,"He was my biggest hype guy. He used to have a microphone on set and be like, ""Ahh!"" And just doing the thing. Vibes."
2y0wMI143bg,,,"It paid off, bud. It's great. It's produced by the Russo brothers, right?"
2y0wMI143bg,,,"Yes, it is produced by the Russo brothers."
2y0wMI143bg,,,Not too shabby.
2y0wMI143bg,,,"The Russo siblings. I have to give a shout out to Angela Russo, as well, who was at the helm of this one."
2y0wMI143bg,,,"Yeah. Since your movie is called ""The Bluff,"" I thought we could play a fun bluffing game, okay?"
2y0wMI143bg,,,You sure?
2y0wMI143bg,,,Yeah. Here's what we're going to do.
2y0wMI143bg,,,Okay.
2y0wMI143bg,,,I think I'm pretty good. I mean...
2y0wMI143bg,,,"I think I'm pretty good, too."
2y0wMI143bg,,,"Well, I might have -- I might be bluffing right now."
2y0wMI143bg,,,I'm always bluffing.
