video_id,start,duration,text
AmARvccsdMI,0.0,5.7,there's blessing in the breaking even if
AmARvccsdMI,2.52,6.119,it's just road rage as simple as that to
AmARvccsdMI,5.7,4.92,maybe losing someone that you love there
AmARvccsdMI,8.639,3.721,is no perfect way to heal the
AmARvccsdMI,10.62,3.78,best-selling author and host the number
AmARvccsdMI,12.36,4.8,one Health and Wellness podcast on
AmARvccsdMI,14.4,5.219,purpose with Jay Shetty
AmARvccsdMI,17.16,4.619,hey everyone welcome back to on purpose
AmARvccsdMI,19.619,4.08,the number one Health podcast in the
AmARvccsdMI,21.779,5.101,world thanks to each and every one of
AmARvccsdMI,23.699,6.301,you that come here every week to become
AmARvccsdMI,26.88,4.62,happier healthier and more healed and
AmARvccsdMI,30.0,3.96,you know that I love sitting down with
AmARvccsdMI,31.5,4.62,guests who allow us into their lives who
AmARvccsdMI,33.96,3.96,allow us into their Journeys to
AmARvccsdMI,36.12,4.2,understand more to help us not feel
AmARvccsdMI,37.92,5.159,alone to help us feel connected in our
AmARvccsdMI,40.32,5.34,pain and in our purpose and to recognize
AmARvccsdMI,43.079,5.041,that we have so much more in common and
AmARvccsdMI,45.66,5.219,that when we work together we can truly
AmARvccsdMI,48.12,5.16,find the light in our lives now today's
AmARvccsdMI,50.879,5.7,guest is someone who I believe does this
AmARvccsdMI,53.28,5.82,with every step every word and
AmARvccsdMI,56.579,4.14,everything she takes on in her life I've
AmARvccsdMI,59.1,3.479,had the fortune of getting to know her
AmARvccsdMI,60.719,4.62,over the last few years and I can
AmARvccsdMI,62.579,4.741,honestly say that not only is she one of
AmARvccsdMI,65.339,4.021,the most genuine and kind-hearted people
AmARvccsdMI,67.32,4.619,I know she's also just one of the most
AmARvccsdMI,69.36,5.34,loving and Soulful people who truly
AmARvccsdMI,71.939,4.741,wants to change lives I have to start
AmARvccsdMI,74.7,4.38,the episode by saying this I believe
AmARvccsdMI,76.68,5.16,today's game is someone who's extremely
AmARvccsdMI,79.08,4.98,on purpose I'm speaking about the one
AmARvccsdMI,81.84,4.02,and only Selena Gomez one of the most
AmARvccsdMI,84.06,4.68,globally and culturally celebrated
AmARvccsdMI,85.86,5.06,artists actors producers entrepreneurs
AmARvccsdMI,88.74,5.16,and most importantly I know to her
AmARvccsdMI,90.92,4.96,philanthropists of her generation as a
AmARvccsdMI,93.9,5.46,recording artist Selena has sold more
AmARvccsdMI,95.88,6.96,than 210 million singles worldwide and
AmARvccsdMI,99.36,5.7,has over 45 billion Global streams her
AmARvccsdMI,102.84,4.98,upcoming biographical documentary which
AmARvccsdMI,105.06,6.0,I want you to go and see Selena Gomez my
AmARvccsdMI,107.82,4.56,mind and me is out right now I got to
AmARvccsdMI,111.06,4.08,see it earlier I'll tell you all about
AmARvccsdMI,112.38,5.46,it and in 2019 Selena launched her
AmARvccsdMI,115.14,5.4,beauty line rare Beauty exclusively with
AmARvccsdMI,117.84,5.04,Sephora as part of the partnership Gomez
AmARvccsdMI,120.54,4.92,announced the rare impact fund pledging
AmARvccsdMI,122.88,6.18,to raise this is outstanding pledging to
