video_id,start,duration,text
rPH5RUdaEMQ,2.96,8.12,हाय 1 2 3 1 2 3
rPH5RUdaEMQ,6.16,4.92,1 2 3 समय आप भी कुछ बोल दो
rPH5RUdaEMQ,11.519,5.121,आवाज नहीं आ रही भाई
rPH5RUdaEMQ,13.36,3.999,हेलो हेलो वन टू थ्री आ रही है
rPH5RUdaEMQ,16.64,4.88,लेट्स गो
rPH5RUdaEMQ,17.359,6.641,लेट्स गो स्टार्ट करें कैमरा इज रोलिंग
rPH5RUdaEMQ,21.52,5.44,रोलिंग
rPH5RUdaEMQ,24.0,4.0,हाय समय हाउ आर यू वेलकम टू चलचित्र टॉक्स
rPH5RUdaEMQ,26.96,4.159,थोड़ा नर्वस हूं यार
rPH5RUdaEMQ,28.0,6.32,हां क्यों लास्ट टाइम आई हैव स्टार्ट विद
rPH5RUdaEMQ,31.119,5.041,अ पॉडकास्टर आई डिडंट गो वेल
rPH5RUdaEMQ,34.32,2.8,वो कभी रिलीज नहीं हुआ ना लेकिन
rPH5RUdaEMQ,36.16,3.12,हो गया ना वो रिलीज़
rPH5RUdaEMQ,37.12,3.759,नहीं एक जो रिकॉर्ड हुआ था
rPH5RUdaEMQ,39.28,2.48,उसके साथ पॉडकास्ट रिलीज़ नहीं हुआ
rPH5RUdaEMQ,40.879,5.281,हां वो नहीं हुआ ना
rPH5RUdaEMQ,41.76,7.52,पर वो रिलीज हो गया वो सुबह मना
rPH5RUdaEMQ,46.16,5.36,एंड इफ आई कैन एस्टैब्लिश हम कहां पे हैं
rPH5RUdaEMQ,49.28,5.2,लाइक मैं बात करना चाहता हूं वी आर एट द
rPH5RUdaEMQ,51.52,5.519,प्लेस जहां लेटेंट शूट हुआ था एंड यू आर
rPH5RUdaEMQ,54.48,3.12,कमिंग हियर फॉर द फर्स्ट टाइम आफ्टर द होल
rPH5RUdaEMQ,57.039,2.481,थिंग
rPH5RUdaEMQ,57.6,4.08,फर्स्ट टाइम आई ऍम कमिंग टू सो दिस अबव द
rPH5RUdaEMQ,59.52,6.56,हैबिटेट यहां लोगो होता था वो तोड़ दिया
rPH5RUdaEMQ,61.68,5.759,शिवसेना ने अह एंड या नाउ आई एम बैक
rPH5RUdaEMQ,66.08,4.48,एक्चुअली फर्स्ट टाइम आई हैव थॉट दैट आई
rPH5RUdaEMQ,67.439,6.0,विल कम हियर अगेन इफ आई एवर डू लेटेंड
rPH5RUdaEMQ,70.56,5.919,अगेन बट यू कॉल्ड मी सो आई हैव टू कम
rPH5RUdaEMQ,73.439,6.481,बट डूड आई सॉ योर लेटेस्ट लाइक शो इट इज
rPH5RUdaEMQ,76.479,4.96,सो गुड समय मतलब फील ही आ गई एंड वेयर आर
rPH5RUdaEMQ,79.92,3.519,यू प्लानिंग टू रिलीज़ इट
rPH5RUdaEMQ,81.439,2.961,YouTube ओनली प्लेस आई नो
rPH5RUdaEMQ,83.439,1.761,मेंबर्स ओनली
rPH5RUdaEMQ,84.4,3.52,नहीं नहीं
rPH5RUdaEMQ,85.2,4.8,ओके फ्रॉम द गेट गुट विल बी अवेलेबल फॉर द
rPH5RUdaEMQ,87.92,4.96,पब्लिक लाइक लोग अब थे भाई पूरा टाइम दे
rPH5RUdaEMQ,90.0,4.88,सॉइड एवरीथिंग जब मेरी मरी तो फ्री था वो
rPH5RUdaEMQ,92.88,4.16,जब मैं कोर्ट में गया तब वो फ्री में देखा
rPH5RUdaEMQ,94.88,4.08,उन्होंने जब मैं पुलिस स्टेशन में गया तब
rPH5RUdaEMQ,97.04,5.439,उन्होंने फ्री में देखा तो माइट डस वेल सी
rPH5RUdaEMQ,98.96,7.36,द स्पेशल आल्सो फॉर फ्री ओनली मैं आपको एक
rPH5RUdaEMQ,102.479,7.121,क्लिप दिखाना चाहता हूं बेसिकली हमने एक
rPH5RUdaEMQ,106.32,4.88,एपिसोड किया था एक और कॉमेडियन के साथ वो
rPH5RUdaEMQ,109.6,2.799,क्लिप मैंने आपको अभी तक दिखाई नहीं हमने
rPH5RUdaEMQ,111.2,3.279,रिलीज भी नहीं की थी तो आपको एक
rPH5RUdaEMQ,112.399,2.961,एक्सक्लूसिव चलचित्र लॉन्गेस्ट इंटरव्यू
rPH5RUdaEMQ,114.479,4.521,की क्लिप दिखाता हूं
rPH5RUdaEMQ,115.36,3.64,₹60 देने पड़ेंगे
rPH5RUdaEMQ,119.439,4.64,ओके।
rPH5RUdaEMQ,120.96,4.32,व्हिच इज योर फेवरेट मिच हेड वर्क जोक?
rPH5RUdaEMQ,124.079,2.0,आई यूज्ड टू डू ड्रेस।
rPH5RUdaEMQ,125.28,1.439,आई स्टिल डू।
rPH5RUdaEMQ,126.079,3.201,आई स्टिल डू इट।
