video_id,start,duration,text
NcaQUH2K-wo,0.0,3.199,the single greatest lesson i ever
NcaQUH2K-wo,1.199,3.761,learned in my career that profoundly
NcaQUH2K-wo,3.199,3.921,changed the course of my life was
NcaQUH2K-wo,4.96,4.16,multiple time best selling author third
NcaQUH2K-wo,7.12,4.399,most watched ted talk of all time the
NcaQUH2K-wo,9.12,4.96,return of simon sinek thank you very
NcaQUH2K-wo,11.519,4.24,much plus 30 40 years we've doubled down
NcaQUH2K-wo,14.08,3.039,at how do i find love how do i find
NcaQUH2K-wo,15.759,3.6,happiness we've doubled down on
NcaQUH2K-wo,17.119,4.08,selfishness but now in a complicated
NcaQUH2K-wo,19.359,3.281,messy world we haven't been practicing
NcaQUH2K-wo,21.199,2.881,and developing the skills of taking care
NcaQUH2K-wo,22.64,3.36,of each other and that's what we need
NcaQUH2K-wo,24.08,3.38,now more than ever do you ever give up
NcaQUH2K-wo,26.0,2.96,on someone um
NcaQUH2K-wo,27.46,3.26,[Music]
NcaQUH2K-wo,28.96,4.0,i have a fear i've never expressed this
NcaQUH2K-wo,30.72,3.839,openly gen z are the least resilient
NcaQUH2K-wo,32.96,3.439,generation they're really good at
NcaQUH2K-wo,34.559,3.441,presenting a confidence
NcaQUH2K-wo,36.399,3.521,that they don't have this young
NcaQUH2K-wo,38.0,3.44,generation seems less capable to deal
NcaQUH2K-wo,39.92,3.2,with stress than previous generations
NcaQUH2K-wo,41.44,3.52,that is true going from relationship to
NcaQUH2K-wo,43.12,4.48,relationship to relationship from job to
NcaQUH2K-wo,44.96,4.24,job to job there's no stigma to quitting
NcaQUH2K-wo,47.6,3.04,flash forward five years and what's
NcaQUH2K-wo,49.2,3.839,going to happen is an employer is going
NcaQUH2K-wo,50.64,4.64,to look at them be like
NcaQUH2K-wo,53.039,4.561,i can't take the risk everything we're
NcaQUH2K-wo,55.28,5.119,talking about today comes right back to
NcaQUH2K-wo,57.6,4.72,those human skills that we are lacking
NcaQUH2K-wo,60.399,3.281,how to listen how to give and receive
NcaQUH2K-wo,62.32,2.879,feedback how to have a difficult
NcaQUH2K-wo,63.68,3.439,conversation and the thing we have to
NcaQUH2K-wo,65.199,4.001,deal with more than anything is fear
NcaQUH2K-wo,67.119,4.32,fear that is the underlying thing why we
NcaQUH2K-wo,69.2,4.88,don't have honest conversations
NcaQUH2K-wo,71.439,4.561,let me give you some honesty then
NcaQUH2K-wo,74.08,3.92,what is the greatest fear you have about
NcaQUH2K-wo,76.0,6.159,how you're currently living your life i
NcaQUH2K-wo,78.0,4.159,was very insecure about admitting that
NcaQUH2K-wo,82.24,3.519,i was crying
NcaQUH2K-wo,83.84,5.36,you know as we were talking about it
NcaQUH2K-wo,85.759,3.441,that was that was hard
NcaQUH2K-wo,89.28,3.76,without further ado i'm stephen bartlett
NcaQUH2K-wo,91.04,4.48,and this is the diary of a ceo i hope
NcaQUH2K-wo,93.04,5.21,nobody's listening but if you are then
NcaQUH2K-wo,95.52,7.63,please keep this to yourself
NcaQUH2K-wo,98.25,4.9,[Music]
NcaQUH2K-wo,103.92,4.4,simon good to see you again yeah good to
NcaQUH2K-wo,105.92,4.4,be here um i i have to thank you first
NcaQUH2K-wo,108.32,4.0,and foremost and i many reasons you know
NcaQUH2K-wo,110.32,3.68,i'm a huge fan of all your work but the
NcaQUH2K-wo,112.32,5.119,conversation we had when we're over in
NcaQUH2K-wo,114.0,4.799,l.a was received so unbelievably well by
NcaQUH2K-wo,117.439,2.401,the listeners on this podcast it did
NcaQUH2K-wo,118.799,2.881,millions and millions and millions of
NcaQUH2K-wo,119.84,3.76,downloads in such a short space of time
NcaQUH2K-wo,121.68,3.759,that i had to argue to get you to come
NcaQUH2K-wo,123.6,3.04,back again when you're here in the uk so
NcaQUH2K-wo,125.439,3.281,well it's nice to be back and it's nice
NcaQUH2K-wo,126.64,3.52,to do it on your home turf yeah
NcaQUH2K-wo,128.72,3.12,literally in my home literally in your
NcaQUH2K-wo,130.16,3.12,home um
NcaQUH2K-wo,131.84,2.479,there's so many things i want to talk to
NcaQUH2K-wo,133.28,2.08,you about but one of the things that i
NcaQUH2K-wo,134.319,3.28,was curious about because i've been
