video_id,start,duration,text
ULvplwBTbQk,0.08,3.76,How does India look like from this
ULvplwBTbQk,1.839,4.081,space? [music]
ULvplwBTbQk,3.84,3.999,">> Looking at India in the daytime, colors"
ULvplwBTbQk,5.92,4.4,are amazing. The Himalayas are
ULvplwBTbQk,7.839,4.961,absolutely amazing. You can see uh when
ULvplwBTbQk,10.32,4.88,"the rivers run off, how they interact."
ULvplwBTbQk,12.8,4.0,"Night, India is pretty spectacular. The"
ULvplwBTbQk,15.2,5.32,cities are lit up and all those lights
ULvplwBTbQk,16.8,3.72,seems to be like connected.
ULvplwBTbQk,25.6,4.32,Sita Williams and Buchil are still stuck
ULvplwBTbQk,27.92,4.639,in space and are not expected to return.
ULvplwBTbQk,29.92,3.76,>> 10-day test flight turned into a 9-monl
ULvplwBTbQk,32.559,2.721,long mission in space.
ULvplwBTbQk,33.68,4.96,>> This after their Boeing Starlininer
ULvplwBTbQk,35.28,5.04,faced ruster failure.
ULvplwBTbQk,38.64,2.72,">> This time, this flight, the last one,"
ULvplwBTbQk,40.32,2.48,was pretty messed up.
ULvplwBTbQk,41.36,3.039,>> Once after we launched and then we got
ULvplwBTbQk,42.8,3.279,"to the space station, we knew we weren't"
ULvplwBTbQk,44.399,3.201,going to come home as planned. We knew
ULvplwBTbQk,46.079,3.441,it would be six more months. When you're
ULvplwBTbQk,47.6,3.49,in space and coming home is a byproduct
ULvplwBTbQk,49.52,3.59,"of this business, it's risky."
ULvplwBTbQk,51.09,2.02,>> [music]
ULvplwBTbQk,55.039,4.721,>> How many situations do you plan for?
ULvplwBTbQk,56.96,5.279,">> Oh gosh, hundreds. Trained for two years"
ULvplwBTbQk,59.76,4.0,for a launch of a spacecraft cuz we go
ULvplwBTbQk,62.239,3.121,"through with our control team. Hey, what"
ULvplwBTbQk,63.76,3.76,if this failed? What if that failed? And
ULvplwBTbQk,65.36,5.16,what's the probability of this and that
ULvplwBTbQk,67.52,3.0,happening?
ULvplwBTbQk,71.84,3.76,>> Was there any point where you heard some
ULvplwBTbQk,73.52,4.639,sound and you got scared? We were all a
ULvplwBTbQk,75.6,5.199,little on edge when in this latest
ULvplwBTbQk,78.159,5.28,flight when we had a satellite below us
ULvplwBTbQk,80.799,4.32,in orbit um explode and then there was a
ULvplwBTbQk,83.439,3.841,bit of a debris field and so we were
ULvplwBTbQk,85.119,4.481,woken up in the middle of the night to
ULvplwBTbQk,87.28,3.839,all go to our own spacecraft. It's
ULvplwBTbQk,89.6,3.04,called safe haven and we all sort of
ULvplwBTbQk,91.119,4.841,hugged each other. Hopefully I'll see
ULvplwBTbQk,92.64,3.32,you on Earth.
ULvplwBTbQk,97.04,2.64,>> Did you feel lonely in one of those 286
ULvplwBTbQk,99.28,2.08,days?
ULvplwBTbQk,99.68,2.64,>> People that you end up living in space
ULvplwBTbQk,101.36,3.28,they become family.
ULvplwBTbQk,102.32,4.4,">> Have you cried in space? Oh, absolutely."
ULvplwBTbQk,104.64,4.799,Absolutely. I miss people and I miss my
ULvplwBTbQk,106.72,4.96,"dog, so of [music] course I cried."
ULvplwBTbQk,109.439,3.04,>> What was the most difficult part for you
ULvplwBTbQk,111.68,2.479,of the training?
ULvplwBTbQk,112.479,3.761,">> Like if I have to just go do something,"
ULvplwBTbQk,114.159,4.24,it doesn't bother me. I've trained. I've
ULvplwBTbQk,116.24,3.919,"done it. Like spacew walk stuff, robotic"
ULvplwBTbQk,118.399,6.921,stuff doesn't make me nervous. But
ULvplwBTbQk,120.159,5.161,academics in college were hard for me.
ULvplwBTbQk,126.24,3.68,>> Before you set a foot on your first
ULvplwBTbQk,128.08,3.28,"flight, you saw what happened with Kalpn"
ULvplwBTbQk,129.92,3.28,Chavla. She's a friend of yours. She's a
ULvplwBTbQk,131.36,3.84,role model. and you saw her death.
ULvplwBTbQk,133.2,3.679,>> This day has brought terrible news and
ULvplwBTbQk,135.2,3.679,great sadness [music] to our country
ULvplwBTbQk,136.879,5.0,that Colombia is lost. There are no
ULvplwBTbQk,138.879,3.0,survivors.
ULvplwBTbQk,142.08,4.48,>> Did that event change anything you? I
ULvplwBTbQk,144.319,4.321,think the desire to explore more. I
ULvplwBTbQk,146.56,3.6,think it g gave us even more of a
ULvplwBTbQk,148.64,3.2,feeling of like we really want to
ULvplwBTbQk,150.16,3.359,continue this. We've got to do this in
ULvplwBTbQk,151.84,4.24,their memory. We're not going to let
ULvplwBTbQk,153.519,4.08,their situation put a stop on it. They
ULvplwBTbQk,156.08,4.08,"wouldn't want that. So, we're going to"
ULvplwBTbQk,157.599,4.321,press harder.
ULvplwBTbQk,160.16,2.24,What's the health cost you pay when you
ULvplwBTbQk,161.92,2.319,come back?
ULvplwBTbQk,162.4,3.52,">> For me, I always feel a little nauseous"
ULvplwBTbQk,164.239,3.921,when I come back. The neurovvestibular
ULvplwBTbQk,165.92,4.56,system has not been working while you're
ULvplwBTbQk,168.16,4.24,up in space. It's sort of shut down and
ULvplwBTbQk,170.48,3.36,you have other feelings of orientation
ULvplwBTbQk,172.4,6.119,"while you're up there. For me, I felt"
ULvplwBTbQk,173.84,4.679,pretty nauseous for like 24 hours.
ULvplwBTbQk,179.28,1.92,>> Do you believe there's some life out
ULvplwBTbQk,180.72,2.159,there?
ULvplwBTbQk,181.2,4.48,>> Absolutely. With those billions of stars
ULvplwBTbQk,182.879,4.561,"out there,"
ULvplwBTbQk,185.68,3.36,we're just a little planet around one
ULvplwBTbQk,187.44,5.6,star.
ULvplwBTbQk,189.04,5.68,"So yeah, there's life out there."
ULvplwBTbQk,193.04,3.44,>> How does space smell like? Tell me about
ULvplwBTbQk,194.72,4.08,your biggest insecurity. What's the
ULvplwBTbQk,196.48,4.16,strangest thing you've seen in the space
ULvplwBTbQk,198.8,2.96,which you think is going to be hard to
ULvplwBTbQk,200.64,3.2,believe for people here?
ULvplwBTbQk,201.76,5.08,>> Interesting. Um
ULvplwBTbQk,203.84,3.0,uh
ULvplwBTbQk,208.64,4.4,"before starting today's episode, I have"
ULvplwBTbQk,210.56,4.56,a small request. The whole team and I
ULvplwBTbQk,213.04,4.16,are working very hard to bring bigger
ULvplwBTbQk,215.12,3.839,and bigger guests for you so that we can
ULvplwBTbQk,217.2,4.0,give you more value and learnings
ULvplwBTbQk,218.959,4.64,through better conversations. And to
ULvplwBTbQk,221.2,5.119,"continue doing that, I need you to"
ULvplwBTbQk,223.599,5.681,subscribe our channel. It's free and
ULvplwBTbQk,226.319,5.28,takes only 2 seconds. And we promise
ULvplwBTbQk,229.28,4.48,"that if you do this, we'll keep bringing"
ULvplwBTbQk,231.599,4.401,the top 1% guests from all around the
ULvplwBTbQk,233.76,4.559,world and make you prouder one day. Our
ULvplwBTbQk,236.0,5.68,today's guest has done nine spacew
ULvplwBTbQk,238.319,6.081,"walks, spent more than 62 hours walking"
ULvplwBTbQk,241.68,6.08,"in space, more than any other women in"
ULvplwBTbQk,244.4,5.68,human history. Very few women get to
ULvplwBTbQk,247.76,4.64,lead the International Space Station.
ULvplwBTbQk,250.08,4.879,And she's not just commanded the ISS
ULvplwBTbQk,252.4,6.079,"once, but twice. She has been part of"
ULvplwBTbQk,254.959,6.721,"three epic ISS missions, spent 608 days"
ULvplwBTbQk,258.479,6.561,"in space, the second most of any NASA"
ULvplwBTbQk,261.68,6.959,astronaut ever. I'm talking about Sunita
ULvplwBTbQk,265.04,6.0,"Williams, the woman who's flown 40"
ULvplwBTbQk,268.639,4.641,"different aircraft, served as a Navy"
ULvplwBTbQk,271.04,4.879,"captain, and is also the first human"
ULvplwBTbQk,273.28,5.359,being ever to have run a marathon in
ULvplwBTbQk,275.919,5.601,"space. And just last year, she was"
ULvplwBTbQk,278.639,5.521,stranded in space for 9 months when a
ULvplwBTbQk,281.52,5.36,spacecraft failed. The whole world
ULvplwBTbQk,284.16,5.12,"washed, but she didn't panic. She took"
ULvplwBTbQk,286.88,4.4,"the charge. And in this conversation,"
ULvplwBTbQk,289.28,4.72,"we'll figure out the training, the"
ULvplwBTbQk,291.28,4.639,"mindset, the sacrifices it took to"
ULvplwBTbQk,294.0,4.88,become one of the greatest female
ULvplwBTbQk,295.919,5.441,astronauts in the world. And what does
ULvplwBTbQk,298.88,5.12,it take to build a mindset where you can
ULvplwBTbQk,301.36,5.893,be calm when everything is going against
ULvplwBTbQk,304.0,3.253,you? [music]
ULvplwBTbQk,309.84,5.68,"I'm just really, really honored to do"
ULvplwBTbQk,313.28,3.84,this. I just wanted you to know this.
ULvplwBTbQk,315.52,3.119,">> Well, thank you. It's fun. It's great to"
ULvplwBTbQk,317.12,3.519,be here. It's great to have a podcast. I
ULvplwBTbQk,318.639,3.681,know it opens up to another audience.
ULvplwBTbQk,320.639,5.12,"So, thank you for the invitation."
ULvplwBTbQk,322.32,5.84,">> Everybody knows you, but let's say if"
ULvplwBTbQk,325.759,3.201,"0.01% people don't know you,"
ULvplwBTbQk,328.16,4.4,">> okay,"
ULvplwBTbQk,328.96,5.04,>> then what about your childhood you would
ULvplwBTbQk,332.56,3.52,tell them which has shaped you the
ULvplwBTbQk,334.0,3.36,person who you are today? Uh I think the
ULvplwBTbQk,336.08,2.959,biggest thing about my childhood that
ULvplwBTbQk,337.36,5.6,shaped me was I came from a family that
ULvplwBTbQk,339.039,5.841,"was multicultural, multi- religions, um"
ULvplwBTbQk,342.96,4.4,"multi food, [laughter]"
ULvplwBTbQk,344.88,4.48,most important I guess. And uh and
ULvplwBTbQk,347.36,3.279,that's a really it's a big benefit. I
ULvplwBTbQk,349.36,2.559,didn't you know you don't realize it
ULvplwBTbQk,350.639,4.241,"when you're a kid, you know, it's just"
ULvplwBTbQk,351.919,5.441,it's life. It's how it is. Um but I
ULvplwBTbQk,354.88,4.64,think uh just appreciation for different
ULvplwBTbQk,357.36,4.24,cultures at a young age not even
ULvplwBTbQk,359.52,5.92,realizing it I think was really
ULvplwBTbQk,361.6,6.56,beneficial and set me up um for success
ULvplwBTbQk,365.44,4.96,I would say just because I I feel like I
ULvplwBTbQk,368.16,5.12,can um relate to a lot of different
ULvplwBTbQk,370.4,4.16,people or at least have the patience to
ULvplwBTbQk,373.28,3.039,listen for a moment.
ULvplwBTbQk,374.56,4.24,>> At what point in your childhood you felt
ULvplwBTbQk,376.319,4.16,like this is a strength like m being
ULvplwBTbQk,378.8,3.76,multicultural is a strength now? Oh
ULvplwBTbQk,380.479,4.081,gosh. I don't think I realized it for a
ULvplwBTbQk,382.56,5.919,long time for a while. Like it it was a
ULvplwBTbQk,384.56,5.68,little bit I think more so um
ULvplwBTbQk,388.479,4.641,we were different. We are a different
ULvplwBTbQk,390.24,4.56,family and we all knew that but I don't
ULvplwBTbQk,393.12,5.12,know I didn't know if it was a strength
ULvplwBTbQk,394.8,5.36,until later on in life where um
ULvplwBTbQk,398.24,2.399,>> uh just easy to deal with people. I
ULvplwBTbQk,400.16,2.08,think [snorts] that
ULvplwBTbQk,400.639,3.84,>> what do you mean by different?
ULvplwBTbQk,402.24,3.76,>> Uh well we were the only Indian family
ULvplwBTbQk,404.479,1.84,in our town.
ULvplwBTbQk,406.0,2.4,>> Okay.
ULvplwBTbQk,406.319,3.921,>> Or partially Indian family. So I think
ULvplwBTbQk,408.4,4.239,we stuck out pretty much. My sister and
ULvplwBTbQk,410.24,4.16,"I had long hair, of course, long Indian"
ULvplwBTbQk,412.639,5.441,hair while we were growing up. We were
ULvplwBTbQk,414.4,5.04,also swimmers and so we were the type
ULvplwBTbQk,418.08,3.119,that got up in the morning and swam
ULvplwBTbQk,419.44,4.24,before school coming into school with
ULvplwBTbQk,421.199,4.641,wet hair and so we were just different
ULvplwBTbQk,423.68,3.76,in regards to other people in the town.
ULvplwBTbQk,425.84,4.72,I think people knew who we were then
ULvplwBTbQk,427.44,3.44,too. The pandas. [laughter]
ULvplwBTbQk,430.56,3.359,>> Yeah.
ULvplwBTbQk,430.88,5.599,>> Did you at any point feel like that was
ULvplwBTbQk,433.919,4.321,maybe a weakness or that maybe put you
ULvplwBTbQk,436.479,3.521,in a different light than other people?
ULvplwBTbQk,438.24,4.0,">> Oh, sure. like as a kid, you know, of"
ULvplwBTbQk,440.0,4.4,course when you're like a a a kid or
ULvplwBTbQk,442.24,4.239,"more so like when you're an early teed,"
ULvplwBTbQk,444.4,3.44,you're you're when you don't blend in
ULvplwBTbQk,446.479,2.641,with everybody else and you're a little
ULvplwBTbQk,447.84,5.6,"bit different. Of course, that's a"
ULvplwBTbQk,449.12,7.6,little bit uncomfortable. Um but it also
ULvplwBTbQk,453.44,5.36,at the same time I was I think
ULvplwBTbQk,456.72,4.0,"confident, secure in myself that I, you"
ULvplwBTbQk,458.8,5.519,"know, I thought the more important thing"
ULvplwBTbQk,460.72,4.96,was athletics and academics and I didn't
ULvplwBTbQk,464.319,4.16,really didn't really bother me that
ULvplwBTbQk,465.68,4.48,much. Were you insecure at any point?
ULvplwBTbQk,468.479,3.28,>> Absolutely. My whole life I think every
ULvplwBTbQk,470.16,3.68,and I think everybody is. They just have
ULvplwBTbQk,471.759,3.761,to sort of push through it and I think
ULvplwBTbQk,473.84,3.359,that's part of part of life is just like
ULvplwBTbQk,475.52,2.56,pushing through boundaries and things
ULvplwBTbQk,477.199,2.321,that make you feel a little
ULvplwBTbQk,478.08,3.679,uncomfortable and that's the way you can
ULvplwBTbQk,479.52,4.64,"achieve more. So yeah, absolutely. Yeah."
ULvplwBTbQk,481.759,4.961,>> Tell me about your biggest insecurity.
ULvplwBTbQk,484.16,5.28,">> Uh ah gosh, my biggest I don't know"
ULvplwBTbQk,486.72,6.56,about my biggest. [laughter] I mean just
ULvplwBTbQk,489.44,6.56,I my whole job uh from being um you know
ULvplwBTbQk,493.28,3.919,like first of all as a athlete as a you
ULvplwBTbQk,496.0,3.039,know you get on the starting blocks
ULvplwBTbQk,497.199,4.241,you're nervous right so that's one thing
ULvplwBTbQk,499.039,4.88,you're a little bit insecure about your
ULvplwBTbQk,501.44,4.319,capabilities and your abilities uh gets
ULvplwBTbQk,503.919,4.321,proven in the pool or on the track or
ULvplwBTbQk,505.759,4.241,wherever it is um but you know just
ULvplwBTbQk,508.24,6.32,getting to that starting point as they
ULvplwBTbQk,510.0,6.479,say is is a little bit scary um and then
ULvplwBTbQk,514.56,5.2,just I think in all of the things that I
ULvplwBTbQk,516.479,5.44,in my career that I've done I had major
ULvplwBTbQk,519.76,3.68,"insecurities about it. Like, wow, am I"
ULvplwBTbQk,521.919,2.801,am I going to be able to pass this check
ULvplwBTbQk,523.44,3.519,ride? Am I going to be able to be a
ULvplwBTbQk,524.72,3.76,pilot? Am I going to be able to know how
ULvplwBTbQk,526.959,3.521,to do a spacew walk? Am I going to be
ULvplwBTbQk,528.48,3.919,able to do the robotic arm? I think all
ULvplwBTbQk,530.48,4.24,those all those things. I think there's
ULvplwBTbQk,532.399,4.241,"points of insecurity. Yes, you prepare"
ULvplwBTbQk,534.72,3.679,"as best as you can, but then at this at"
ULvplwBTbQk,536.64,4.08,"one point in time, at least myself, I"
ULvplwBTbQk,538.399,2.56,"doubt myself at times. Um, you know,"
ULvplwBTbQk,540.72,1.6,like
ULvplwBTbQk,540.959,3.361,>> do you do that today?
ULvplwBTbQk,542.32,4.16,>> Absolutely. I think we all do it. I
ULvplwBTbQk,544.32,3.6,think we all do that. Like if you don't
ULvplwBTbQk,546.48,3.039,then you're not really being
ULvplwBTbQk,547.92,2.0,introspective. I think
ULvplwBTbQk,549.519,3.121,>> true.
ULvplwBTbQk,549.92,5.12,>> I think it's hard to think that you know
ULvplwBTbQk,552.64,4.639,everything and not have an appreciation
ULvplwBTbQk,555.04,4.72,for uh the rest of the world around you
ULvplwBTbQk,557.279,4.24,that might have a surprise for you.
ULvplwBTbQk,559.76,4.201,>> What are you insecure about today? Like
ULvplwBTbQk,561.519,3.041,you've accomplished so many things now.
ULvplwBTbQk,563.961,3.558,[laughter]
ULvplwBTbQk,564.56,5.2,>> Um
ULvplwBTbQk,567.519,3.521,a a lot. I mean the next steps of my
ULvplwBTbQk,569.76,3.199,life. What am I going to do in the next
ULvplwBTbQk,571.04,4.88,"steps of my life? I, you know, I want"
ULvplwBTbQk,572.959,4.88,"to, we're moved. I'm retired. We've"
ULvplwBTbQk,575.92,4.16,"moved. Uh, what am I going to do? I"
ULvplwBTbQk,577.839,3.68,"don't know. And I mean, think I'm"
ULvplwBTbQk,580.08,3.28,"insecure about it, but I don't really"
ULvplwBTbQk,581.519,3.281,care cuz it's going to be it's all I
ULvplwBTbQk,583.36,3.039,know better now. It's all going to work
ULvplwBTbQk,584.8,3.92,out. I wish I had known that when I was
ULvplwBTbQk,586.399,4.161,"a kid. Uh, you know, cuz I think those"
ULvplwBTbQk,588.72,3.04,insecurities take over a little bit more
ULvplwBTbQk,590.56,2.959,when you're younger when you don't
ULvplwBTbQk,591.76,5.04,realize it's all going to work out.
ULvplwBTbQk,593.519,6.32,">> You know, it's so fascinating."
ULvplwBTbQk,596.8,4.719,You do like your main work is
ULvplwBTbQk,599.839,2.961,uncertaintity for living. Like that's
ULvplwBTbQk,601.519,4.32,what like you don't know what's going to
ULvplwBTbQk,602.8,4.719,happen the next moment and you're you
ULvplwBTbQk,605.839,3.761,think about what's going to happen next.
ULvplwBTbQk,607.519,4.481,That's like you're insecure about the
ULvplwBTbQk,609.6,4.88,uncertaintity in your life like what's
ULvplwBTbQk,612.0,5.36,going to happen now but you've lived all
ULvplwBTbQk,614.48,4.88,your life just thinking about let's live
ULvplwBTbQk,617.36,4.64,in the moment and not think about what's
ULvplwBTbQk,619.36,4.8,going to happen next.
ULvplwBTbQk,622.0,3.92,>> Uh yes and I think you you bring up a
ULvplwBTbQk,624.16,3.28,good point. Let's I think that is the
ULvplwBTbQk,625.92,3.12,way you deal with it. Like let's live in
ULvplwBTbQk,627.44,3.2,the moment. Like I think people have
ULvplwBTbQk,629.04,3.52,insecurities of course when they look in
ULvplwBTbQk,630.64,5.12,the future and you but you can't you
ULvplwBTbQk,632.56,5.36,can't make it you can guide it but you
ULvplwBTbQk,635.76,4.0,can't uh anticipate every little thing.
ULvplwBTbQk,637.92,3.52,So living in the in the moment is I
ULvplwBTbQk,639.76,5.12,think the best methodology.
ULvplwBTbQk,641.44,5.28,>> You know you say a lot about that
ULvplwBTbQk,644.88,4.399,u you've made a pivot every time things
ULvplwBTbQk,646.72,4.96,don't work out you made a pivot.
ULvplwBTbQk,649.279,4.721,>> So you wanted to become something else
ULvplwBTbQk,651.68,4.56,in the childhood then you applied for
ULvplwBTbQk,654.0,4.16,certain things you didn't get in and
ULvplwBTbQk,656.24,5.44,then you finally ended up becoming who
ULvplwBTbQk,658.16,5.28,you are today. How did you know that
ULvplwBTbQk,661.68,3.76,>> this is something that you don't want to
ULvplwBTbQk,663.44,4.24,give up? because everything every time
ULvplwBTbQk,665.44,3.839,"when it didn't work out, you just"
ULvplwBTbQk,667.68,3.44,"pivoted. You're like, ""Maybe not for me,"
ULvplwBTbQk,669.279,4.321,"not for me, not for me."" And then,"
ULvplwBTbQk,671.12,4.08,">> well, I I I like this is another thing I"
ULvplwBTbQk,673.6,5.76,think I wish I knew when I was a younger
ULvplwBTbQk,675.2,7.28,"kid that, you know, things work out for"
ULvplwBTbQk,679.36,6.0,"a reason. Um, maybe it's because you"
ULvplwBTbQk,682.48,4.88,have better qualifications in one area
ULvplwBTbQk,685.36,5.44,"than another, although you think this is"
ULvplwBTbQk,687.36,6.08,what you might want to do. um and be
ULvplwBTbQk,690.8,5.599,ready for those extra doors to open that
ULvplwBTbQk,693.44,4.56,you didn't even anticipate. So those are
ULvplwBTbQk,696.399,2.961,things that I like I said I wish I had
ULvplwBTbQk,698.0,4.24,known then because I think I was a
ULvplwBTbQk,699.36,4.719,little bit more had more anticipation
ULvplwBTbQk,702.24,4.719,maybe a little bit more nervousness
ULvplwBTbQk,704.079,4.561,about it when I was younger versus just
ULvplwBTbQk,706.959,3.761,like sort of going with the flow because
ULvplwBTbQk,708.64,3.759,like let's just see what's behind the
ULvplwBTbQk,710.72,3.28,next door cuz it might be something that
ULvplwBTbQk,712.399,4.481,I never even imagined and things like
ULvplwBTbQk,714.0,5.92,that. So that's why I mention this when
ULvplwBTbQk,716.88,6.24,I'm talking to kids about this this
ULvplwBTbQk,719.92,5.44,younger age pivot about trying to know
ULvplwBTbQk,723.12,4.159,what you want to do when you're 17 that
ULvplwBTbQk,725.36,4.4,seems almost ridiculous now that I look
