video_id,start,duration,text
IZ_SFbaysHk,0.934,1.4,-Can you see me by the way?
IZ_SFbaysHk,2.334,2.103,"Uh, yeah.
-Okay, good."
IZ_SFbaysHk,4.437,1.568,"'Cause I just was wondering,
'cause I under--"
IZ_SFbaysHk,6.005,2.535,"Didn't you just
get Lasik surgery?"
IZ_SFbaysHk,8.54,1.803,"-I did.
How do you know that?"
IZ_SFbaysHk,10.343,1.234,[ Laughter ]
IZ_SFbaysHk,11.577,2.937,"-You got Lasik surgery,
which is a major surgery."
IZ_SFbaysHk,14.514,2.169,"-It i--
Yeah, but, um..."
IZ_SFbaysHk,16.683,1.334,[ Laughter ]
IZ_SFbaysHk,18.017,1.468,"I did, but I don't --
I don't even tell people that."
IZ_SFbaysHk,19.485,1.435,"-But you can see me perfect?
I just want to make sure, yeah."
IZ_SFbaysHk,20.92,2.402,"-No, it was great.
I really can see very well."
IZ_SFbaysHk,23.322,3.905,"-Do you take painkillers or
anything when you do that stuff?"
IZ_SFbaysHk,27.227,2.001,[ Laughter ]
IZ_SFbaysHk,29.228,2.803,"Well, I mean, do they give you
like laughing gas or something?"
IZ_SFbaysHk,32.031,3.103,"-They definitely give you
some pretty hard-core pills"
IZ_SFbaysHk,35.134,2.302,"after you...
-Yeah."
IZ_SFbaysHk,37.436,2.804,"-...have a laser in your eye.
What is going on?"
IZ_SFbaysHk,40.24,2.401,[ Laughter ]
IZ_SFbaysHk,42.641,1.535,"-So you're saying --
So, post-surgery,"
IZ_SFbaysHk,44.176,2.103,"you're a little loopy?
You know?"
IZ_SFbaysHk,46.279,2.636,"You have things on your eyes?
And --"
IZ_SFbaysHk,48.915,1.301,-What's happening right now?
IZ_SFbaysHk,50.216,1.468,"[ Laughter ]
[ Drumroll ]"
IZ_SFbaysHk,51.684,2.669,"-Your mom may or may not have
videotaped you after surgery."
IZ_SFbaysHk,54.353,2.97,"[ Audience ""Oohs,"" applause ]"
IZ_SFbaysHk,57.323,1.435,[ Laughter ]
IZ_SFbaysHk,58.758,1.534,And she gave us the video.
IZ_SFbaysHk,60.292,1.769,[ Laughter and applause ]
IZ_SFbaysHk,62.061,2.803,-For the television?
IZ_SFbaysHk,64.864,1.835,"-Wait.
This is a world premiere."
IZ_SFbaysHk,66.699,1.168,You got to check this out.
IZ_SFbaysHk,67.867,1.202,"[ Drumroll ]
[ Cheers ]"
IZ_SFbaysHk,69.069,3.436,"This is Taylor Swift,
post-surgery."
IZ_SFbaysHk,72.505,1.802,"You were, like,
freaking out over a banana."
IZ_SFbaysHk,74.307,1.301,[ Laughter ]
