video_id,start,duration,text
zg4Ta7vXiIM,0.199,3.601,I want to go through these five habits
zg4Ta7vXiIM,1.48,5.12,that make people instantly dislike you
zg4Ta7vXiIM,3.8,4.4,yes yes so these are tiny little things
zg4Ta7vXiIM,6.6,2.919,that a lot of people do without even
zg4Ta7vXiIM,8.2,5.68,realizing that they're doing this sort
zg4Ta7vXiIM,9.519,6.0,of stuff first one is oh my God so true
zg4Ta7vXiIM,13.88,3.68,Charlie hoopert is a leading expert in
zg4Ta7vXiIM,15.519,3.321,Charisma and confidence his insights and
zg4Ta7vXiIM,17.56,3.08,practical techniques have helped
zg4Ta7vXiIM,18.84,3.4,millions of people Master communication
zg4Ta7vXiIM,20.64,3.639,and body language to thrive in both
zg4Ta7vXiIM,22.24,3.959,personal and professional relationships
zg4Ta7vXiIM,24.279,3.521,how important is charisma and confidence
zg4Ta7vXiIM,26.199,3.24,it's perhaps the most underrated piece
zg4Ta7vXiIM,27.8,3.16,of success and it's the ability to speak
zg4Ta7vXiIM,29.439,3.12,with conviction the ability to influence
zg4Ta7vXiIM,30.96,3.16,someone ability to connect with people I
zg4Ta7vXiIM,32.559,3.0,mean look at Donald Trump he talked his
zg4Ta7vXiIM,34.12,2.92,way into the literal presidency of the
zg4Ta7vXiIM,35.559,3.241,United States of America it's so
zg4Ta7vXiIM,37.04,3.24,incredibly powerful and is it something
zg4Ta7vXiIM,38.8,3.239,that you can learn yeah and I'm a
zg4Ta7vXiIM,40.28,3.599,testament to that because growing up I
zg4Ta7vXiIM,42.039,3.68,was invisible not making new friends not
zg4Ta7vXiIM,43.879,3.241,forming connections I wasn't dating
zg4Ta7vXiIM,45.719,3.0,because there was this fear that I would
zg4Ta7vXiIM,47.12,4.04,get hurt where did that come from part
zg4Ta7vXiIM,48.719,5.761,of it to the experiences that I had one
zg4Ta7vXiIM,51.16,7.239,of them was being sexually abused and I
zg4Ta7vXiIM,54.48,6.559,felt disgusted with
zg4Ta7vXiIM,58.399,4.601,myself um
zg4Ta7vXiIM,61.039,3.921,I was struggling and frustrated with the
zg4Ta7vXiIM,63.0,4.4,compensations I'd made as a result of it
zg4Ta7vXiIM,64.96,4.36,and so I learned all the tips and tricks
zg4Ta7vXiIM,67.4,3.8,to develop confidence and became a
zg4Ta7vXiIM,69.32,3.56,completely different person and we're
zg4Ta7vXiIM,71.2,3.68,going to go through all of them amazing
zg4Ta7vXiIM,72.88,3.44,so there's prey versus Predator movement
zg4Ta7vXiIM,74.88,2.599,which is tremendously valuable for First
zg4Ta7vXiIM,76.32,2.4,Impressions and then there's the
zg4Ta7vXiIM,77.479,3.801,charismatic traits which women are
zg4Ta7vXiIM,78.72,4.2,attracted to the 60c ACT to establish
zg4Ta7vXiIM,81.28,3.36,trust and respect and then I have six
zg4Ta7vXiIM,82.92,3.92,charismatic mindsets for success and
zg4Ta7vXiIM,84.64,6.2,there's plenty more listen I've got time
zg4Ta7vXiIM,86.84,4.0,okay so let's break it down
zg4Ta7vXiIM,91.4,3.88,I have been forced into a bet with my
zg4Ta7vXiIM,93.759,2.72,team we're about to hit 10 million
zg4Ta7vXiIM,95.28,2.96,subscribers on YouTube which is our
zg4Ta7vXiIM,96.479,3.761,biggest Milestone ever thanks to all of
zg4Ta7vXiIM,98.24,3.199,you and we want to have a massive party
zg4Ta7vXiIM,100.24,3.68,for the people that have worked on this
zg4Ta7vXiIM,101.439,4.0,show for years behind the scenes so they
zg4Ta7vXiIM,103.92,3.479,said to me Steve for every new
zg4Ta7vXiIM,105.439,6.241,subscriber we get in the next 30 days
zg4Ta7vXiIM,107.399,6.08,can $1 be given to our celebration fund
zg4Ta7vXiIM,111.68,3.399,for the entire team and I've agreed to
zg4Ta7vXiIM,113.479,3.041,the bet so if you want to say thank you
zg4Ta7vXiIM,115.079,3.32,to the team behind the scenes at di of
zg4Ta7vXiIM,116.52,3.8,here all you've got to do is hit the
zg4Ta7vXiIM,118.399,3.4,Subscribe button so actually this is the
zg4Ta7vXiIM,120.32,3.88,first time I'm going to tell you not to
zg4Ta7vXiIM,121.799,5.481,subscribe because it might end up
zg4Ta7vXiIM,124.2,3.08,costing me an
zg4Ta7vXiIM,127.34,3.37,[Applause]
zg4Ta7vXiIM,132.09,3.21,[Music]
zg4Ta7vXiIM,137.36,4.12,awful
zg4Ta7vXiIM,139.28,3.76,Charlie hundreds and hundreds and
zg4Ta7vXiIM,141.48,4.16,hundreds and hundreds of millions of
zg4Ta7vXiIM,143.04,4.52,people have benefited from your work and
zg4Ta7vXiIM,145.64,3.8,tens of thousands of people have been
zg4Ta7vXiIM,147.56,3.72,through your University learning about
zg4Ta7vXiIM,149.44,4.04,something if you had to explain in your
zg4Ta7vXiIM,151.28,4.36,own words what it is that you're doing
zg4Ta7vXiIM,153.48,4.88,for those people in a simple way what
zg4Ta7vXiIM,155.64,3.92,would you how would you say that take
zg4Ta7vXiIM,158.36,2.599,all the situations where you're
zg4Ta7vXiIM,159.56,4.36,interacting with another person whether
zg4Ta7vXiIM,160.959,5.081,it's at your work dating friends and
zg4Ta7vXiIM,163.92,4.44,groups and take the times that you're
zg4Ta7vXiIM,166.04,3.72,feeling that you're not grounded in that
zg4Ta7vXiIM,168.36,2.959,sense of confidence that you maybe have
zg4Ta7vXiIM,169.76,3.32,when you're sitting at home on the couch
zg4Ta7vXiIM,171.319,3.121,with your friend or your family and
zg4Ta7vXiIM,173.08,3.519,bring the best version of yourself to
zg4Ta7vXiIM,174.44,4.36,those situations I think a lot of people
zg4Ta7vXiIM,176.599,3.841,also want flowing conversations they
zg4Ta7vXiIM,178.8,4.719,want to feel like themselves they want
zg4Ta7vXiIM,180.44,5.159,to be the person that is respected and
zg4Ta7vXiIM,183.519,3.601,is admired when they walk into a room
zg4Ta7vXiIM,185.599,2.601,they want other people to notice them
zg4Ta7vXiIM,187.12,2.92,that's one of the big ones that we hear
zg4Ta7vXiIM,188.2,3.759,from guys is they want to be the person
zg4Ta7vXiIM,190.04,3.96,that anytime they enter a room that
zg4Ta7vXiIM,191.959,4.081,women and men take notice of them it
zg4Ta7vXiIM,194.0,4.28,usually is an acute thing so a lot of
zg4Ta7vXiIM,196.04,4.479,people show up because there's a girl
zg4Ta7vXiIM,198.28,3.84,that they liked and it's not going well
zg4Ta7vXiIM,200.519,2.961,or something like that or they went out
zg4Ta7vXiIM,202.12,3.039,for a promotion and somebody that they
zg4Ta7vXiIM,203.48,3.679,felt was less qualified that them wound
zg4Ta7vXiIM,205.159,3.0,up getting the job so they come in with
zg4Ta7vXiIM,207.159,3.36,a very
zg4Ta7vXiIM,208.159,3.481,acute social situation that they would
zg4Ta7vXiIM,210.519,2.321,like to change they'd like to get the
zg4Ta7vXiIM,211.64,2.4,girl they' like to get the job theyd
zg4Ta7vXiIM,212.84,3.2,like to be the leader in their friend
zg4Ta7vXiIM,214.04,3.72,group but when people have gone through
zg4Ta7vXiIM,216.04,4.64,the course what I see is they speak more
zg4Ta7vXiIM,217.76,4.8,about a a sense of joy in life and
zg4Ta7vXiIM,220.68,3.839,confidence because I think that if you
zg4Ta7vXiIM,222.56,3.2,feel disconnected from people there
zg4Ta7vXiIM,224.519,3.161,actually read a thing this morning that
zg4Ta7vXiIM,225.76,3.839,some guy said you know I came here and I
