video_id,start,duration,text
bdpyQm5l78o,0.08,4.64,it is important to not sulk now you
bdpyQm5l78o,2.76,4.119,could call me a monk who did not sell
bdpyQm5l78o,4.72,4.24,her Ferrari even when you go in an
bdpyQm5l78o,6.879,5.64,airplane when they're giving that you
bdpyQm5l78o,8.96,5.639,know emergency uh talk they say when
bdpyQm5l78o,12.519,4.801,there will be a oxygen mask you put on
bdpyQm5l78o,14.599,5.001,yourself first and on your child later
bdpyQm5l78o,17.32,4.64,just say I get to do this right I get to
bdpyQm5l78o,19.6,4.56,go to work I get to see my friends how
bdpyQm5l78o,21.96,3.92,much is it changing your life yeah no
bdpyQm5l78o,24.16,3.439,how many zeros can you add if you're a
bdpyQm5l78o,25.88,3.399,millionaire or a billionaire you should
bdpyQm5l78o,27.599,3.6,not judge a book by its cover but the
bdpyQm5l78o,29.279,4.24,reality is that people do judge a book
bdpyQm5l78o,31.199,2.32,by its
bdpyQm5l78o,38.36,3.8,cover hello and welcome back to the
bdpyQm5l78o,40.64,3.68,podcast if you're new here my name is
bdpyQm5l78o,42.16,4.8,Sheen I'm your host and today we're
bdpyQm5l78o,44.32,4.719,joined by the wonderful Dr Sona Sergeant
bdpyQm5l78o,46.96,4.759,saana is a doctor philanthropist
bdpyQm5l78o,49.039,5.32,entrepreneur artist and she's the
bdpyQm5l78o,51.719,4.601,director at the denu group and she's
bdpyQm5l78o,54.359,3.0,here today to share with us everything
bdpyQm5l78o,56.32,3.32,that she has learned through her
bdpyQm5l78o,57.359,4.321,wonderful Journey hello s welcome thank
bdpyQm5l78o,59.64,5.0,you so much for having me here Sheen
bdpyQm5l78o,61.68,5.04,thank you how are you doing I'm so
bdpyQm5l78o,64.64,4.4,excited to be here cuz you know it's
bdpyQm5l78o,66.72,4.24,just every day you don't meet somebody
bdpyQm5l78o,69.04,3.759,like you you've got literally the Sheen
bdpyQm5l78o,70.96,3.56,in you you got the shine and Sparkle so
bdpyQm5l78o,72.799,3.401,I'm really happy to exchange this energy
bdpyQm5l78o,74.52,3.68,that's so sweet honestly when I was
bdpyQm5l78o,76.2,3.72,doing my homework for this podcast and I
bdpyQm5l78o,78.2,3.879,was watching all of your reals I was
bdpyQm5l78o,79.92,4.12,like your energy is contagious it's very
bdpyQm5l78o,82.079,3.961,rare to come across people who are
bdpyQm5l78o,84.04,3.28,bubbly and happy all the time and I'm
bdpyQm5l78o,86.04,3.52,really happy that you're actually like
bdpyQm5l78o,87.32,4.159,this in person as well so very excited
bdpyQm5l78o,89.56,3.599,for this conversation so tell us a
bdpyQm5l78o,91.479,3.561,little bit about your journey oh well
bdpyQm5l78o,93.159,5.401,where do we start it started with
bdpyQm5l78o,95.04,6.56,medicine right should we go there um so
bdpyQm5l78o,98.56,5.44,why did I want to be a doctor yes um
bdpyQm5l78o,101.6,4.68,somehow because my family we have a
bdpyQm5l78o,104.0,4.56,family of 36 doctors at the moment you
bdpyQm5l78o,106.28,4.04,know so uh I like how you said at the
bdpyQm5l78o,108.56,5.36,moment like there's more because this is
bdpyQm5l78o,110.32,5.839,ongoing right so um when you have so
bdpyQm5l78o,113.92,5.36,many healers in your family and and
bdpyQm5l78o,116.159,5.401,coming from the Indian diaspora you
bdpyQm5l78o,119.28,4.199,choose things which put you at a certain
bdpyQm5l78o,121.56,3.479,level and it becoming a doctor is always
bdpyQm5l78o,123.479,3.361,something which is respected throughout
bdpyQm5l78o,125.039,3.761,you know and I believe that being a
bdpyQm5l78o,126.84,3.839,Healer in any form it's amazing and I
bdpyQm5l78o,128.8,4.4,chose to be a doctor cuz I always looked
bdpyQm5l78o,130.679,4.721,up to my father who's an amazing doctor
bdpyQm5l78o,133.2,4.6,and he was always a fun person very
bdpyQm5l78o,135.4,4.559,handsome and still he was a doctor not a
bdpyQm5l78o,137.8,4.799,boring person so I thought okay I can be
bdpyQm5l78o,139.959,5.721,a doctor like him and I chose to be a
bdpyQm5l78o,142.599,6.961,doctor um that's why I chose the
bdpyQm5l78o,145.68,6.68,profession but then um you know while I
bdpyQm5l78o,149.56,5.44,was becoming a doctor I also experienced
bdpyQm5l78o,152.36,4.519,that there is so much need in the
bdpyQm5l78o,155.0,5.4,Society of you
bdpyQm5l78o,156.879,5.761,know expensive treatments which can be
bdpyQm5l78o,160.4,4.08,somehow delivered to the patients in
bdpyQm5l78o,162.64,4.12,some other way possible you know to make
bdpyQm5l78o,164.48,4.759,it available to them so that pain was
bdpyQm5l78o,166.76,4.479,always there I mean I it could be going
bdpyQm5l78o,169.239,3.841,back to my upbringing and also being a
bdpyQm5l78o,171.239,4.161,sensitive person I always saw that pain
bdpyQm5l78o,173.08,4.32,in the society even while I was in my
bdpyQm5l78o,175.4,4.32,college I used to use my scholarship to
bdpyQm5l78o,177.4,3.759,you know help some poor patients and
bdpyQm5l78o,179.72,4.2,just just get their treatments done and
bdpyQm5l78o,181.159,5.241,pay for their labs and stuff so it was
bdpyQm5l78o,183.92,5.48,always something which was there in my
bdpyQm5l78o,186.4,5.64,personality and then I came back to
bdpyQm5l78o,189.4,5.36,Dubai with my family and here it looked
bdpyQm5l78o,192.04,4.88,very glitzy and glams which is usually
bdpyQm5l78o,194.76,5.0,the facade which people see which is
bdpyQm5l78o,196.92,5.959,there you know Dubai is amazing uh it's
bdpyQm5l78o,199.76,5.6,literally a realistic Utopia uh that's
bdpyQm5l78o,202.879,5.0,how I put to Dubai but the thing is that
bdpyQm5l78o,205.36,4.92,when you look for you will still find
bdpyQm5l78o,207.879,4.881,places where there are needs and you can
bdpyQm5l78o,210.28,4.64,fulfill them so that's what I looked for
bdpyQm5l78o,212.76,4.8,and I started working with the talisia
bdpyQm5l78o,214.92,6.039,patients in the talisia center here in
bdpyQm5l78o,217.56,5.399,the hospital uh where I felt that it is
bdpyQm5l78o,220.959,3.961,not just that you need to help patients
bdpyQm5l78o,222.959,5.041,monetarily you need to give them some
bdpyQm5l78o,224.92,6.28,time and maybe create some you know art
bdpyQm5l78o,228.0,5.76,events or do some classes with them or
bdpyQm5l78o,231.2,4.879,for that matter just spread uh you know
bdpyQm5l78o,233.76,4.559,some information about the awareness of
bdpyQm5l78o,236.079,4.281,of the of the situation what people go
bdpyQm5l78o,238.319,5.0,through when they're in talisia so
bdpyQm5l78o,240.36,4.64,but and then through that journey I got
bdpyQm5l78o,243.319,4.241,you know associated with the genetic
bdpyQm5l78o,245.0,5.439,Disease Association here H which is led
bdpyQm5l78o,247.56,6.08,by Dr Maria matar and um she's been
bdpyQm5l78o,250.439,6.52,working very hard to you know clear out
bdpyQm5l78o,253.64,6.08,um tmia which is a genetic disease uh
bdpyQm5l78o,256.959,4.8,and I along with her somehow kept
bdpyQm5l78o,259.72,3.4,working in creating the awareness so
bdpyQm5l78o,261.759,3.88,that was one of the things that I was
bdpyQm5l78o,263.12,6.799,working on while all of this was going
bdpyQm5l78o,265.639,6.241,on I got married and uh um there is a
bdpyQm5l78o,269.919,5.12,very important division in danub called
bdpyQm5l78o,271.88,6.68,danub welfare center so when uh our
bdpyQm5l78o,275.039,5.561,chairman dad he saw that I'm into
bdpyQm5l78o,278.56,4.84,helping people he said s why don't you
bdpyQm5l78o,280.6,5.2,also join Danny welfare center and
bdpyQm5l78o,283.4,4.96,that's when I was on the cruise and
bdpyQm5l78o,285.8,5.36,getting my makeup done and back I had
bdpyQm5l78o,288.36,5.04,already set up in Dubai um a team which
bdpyQm5l78o,291.16,5.64,were doing registrations for blue colled
