video_id,start,duration,text
R80tJ4lAz20,0.199,3.081,yeah yeah I noticed at the events you
R80tJ4lAz20,1.4,3.8,don't drink and you don't drink or smoke
R80tJ4lAz20,3.28,5.04,right I don't drink or smoke you never
R80tJ4lAz20,5.2,5.8,have no I never have I've uh I had a
R80tJ4lAz20,8.32,4.68,great uh brother who taught me a lesson
R80tJ4lAz20,11.0,3.759,Don't drink don't drink and he said
R80tJ4lAz20,13.0,5.359,don't smoke he smoked and he drank and
R80tJ4lAz20,14.759,5.68,he was great guy he was a handsome very
R80tJ4lAz20,18.359,4.92,handsome guy is he older he was older
R80tJ4lAz20,20.439,5.08,older quite a bit older yeah and uh he
R80tJ4lAz20,23.279,4.24,would uh he had a problem with alcohol
R80tJ4lAz20,25.519,4.68,and smoke a lot but you know I tell
R80tJ4lAz20,27.519,5.08,people no drugs no drinking no
R80tJ4lAz20,30.199,4.161,cigarettes yeah I tell that to my kids
R80tJ4lAz20,32.599,4.96,all the time I'd say no drugs no
R80tJ4lAz20,34.36,5.359,drinking no smok and uh that was tough
R80tJ4lAz20,37.559,7.68,he had well he'd always tell me he'd say
R80tJ4lAz20,39.719,7.761,never so he was uh you know really old
R80tJ4lAz20,45.239,4.401,enough that you would look up to
R80tJ4lAz20,47.48,4.28,somebody and I'd look up to him anyway
R80tJ4lAz20,49.64,4.2,did you admire him yeah I I admired a
R80tJ4lAz20,51.76,5.0,lot so much about him he he had so much
R80tJ4lAz20,53.84,5.359,going had the look uh he had
R80tJ4lAz20,56.76,4.119,unbelievable personality like a an
R80tJ4lAz20,59.199,4.201,incredible person ality what was his
R80tJ4lAz20,60.879,6.521,name Donald his name was Fred Fred
R80tJ4lAz20,63.4,6.2,Trump and he had a problem with alcohol
R80tJ4lAz20,67.4,4.56,he got addicted to it because it's and
R80tJ4lAz20,69.6,4.24,you know they say alcohol is tougher
R80tJ4lAz20,71.96,3.199,than drugs to get off of I've I don't
R80tJ4lAz20,73.84,3.319,know if you've ever heard that I was I'm
R80tJ4lAz20,75.159,4.521,in recovery actually I've been in I've
R80tJ4lAz20,77.159,4.841,been in recovery so like most of the
R80tJ4lAz20,79.68,5.28,last 10 years from alcohol from drugs
R80tJ4lAz20,82.0,5.04,and alcohol drugs which which is worse
R80tJ4lAz20,84.96,4.519,for me drugs is the problem but if I
R80tJ4lAz20,87.04,4.16,have a drink then I it's tougher for me
R80tJ4lAz20,89.479,4.161,to prevent V myself from getting it it
R80tJ4lAz20,91.2,4.44,sets off a chain yeah but is which is
R80tJ4lAz20,93.64,4.759,harder to quit I've heard alcohol is
R80tJ4lAz20,95.64,4.479,harder to quit than drugs if that makes
R80tJ4lAz20,98.399,2.961,sense I don't know oh yeah I mean I can
R80tJ4lAz20,100.119,3.081,only imagine because it's probably more
R80tJ4lAz20,101.36,3.359,readily available more readily well and
R80tJ4lAz20,103.2,3.84,it's social and you're sitting and
R80tJ4lAz20,104.719,4.121,everyone's drinking and all yeah you go
R80tJ4lAz20,107.04,3.84,to a dinner and everybody's eating like
R80tJ4lAz20,108.84,4.279,you know Xanaxes or something you know
R80tJ4lAz20,110.88,4.04,for appetizers usually people are having
R80tJ4lAz20,113.119,3.521,like a Min you know a mint Jep or
R80tJ4lAz20,114.92,5.08,something a little fancier Negron I just
R80tJ4lAz20,116.64,5.119,learned about right um but yeah so you
R80tJ4lAz20,120.0,3.84,have a problem with that then yeah oh
R80tJ4lAz20,121.759,5.32,wow I've had it's been in my family my
R80tJ4lAz20,123.84,5.199,family it's like um yeah can you can you
R80tJ4lAz20,127.079,3.32,stay away from it yeah I've done a good
R80tJ4lAz20,129.039,3.241,job I mean I so how long have you been
R80tJ4lAz20,130.399,4.12,off I go to recovery meetings I've been
R80tJ4lAz20,132.28,4.64,off most recently two a little over two
R80tJ4lAz20,134.519,4.72,years do you ever go back on yeah I've
R80tJ4lAz20,136.92,4.64,had stance where I go back on and um and
R80tJ4lAz20,139.239,3.72,and you don't control it uh it's tough
R80tJ4lAz20,141.56,2.8,it gets it goes down here pretty quick
R80tJ4lAz20,142.959,3.521,kiding so you you think it's going to be
R80tJ4lAz20,144.36,4.08,easy you think you're controlling it and
R80tJ4lAz20,146.48,4.479,then you're damn yeah you're doing your
R80tJ4lAz20,148.44,4.4,go-kart and racing with hook
R80tJ4lAz20,150.959,3.56,just not to do it right right so then in
R80tJ4lAz20,152.84,3.96,the end you're like I have to not do it
R80tJ4lAz20,154.519,4.72,did you see like with your brother did
R80tJ4lAz20,156.8,7.04,you could you see it or anything like
R80tJ4lAz20,159.239,7.121,yeah man I was amazed because he he had
R80tJ4lAz20,163.84,6.319,so much going he had everything going I
R80tJ4lAz20,166.36,6.08,think he probably it happened in college
R80tJ4lAz20,170.159,4.72,at a fraternity maybe or I don't know
R80tJ4lAz20,172.44,4.32,somewhere along the line it happened and
R80tJ4lAz20,174.879,3.601,all of a sudden you know this is not
R80tJ4lAz20,176.76,4.32,unique this is a very common story
R80tJ4lAz20,178.48,5.44,unfortunately but uh and then the family
R80tJ4lAz20,181.08,5.799,would see it and start to notice it
R80tJ4lAz20,183.92,5.039,and uh it didn't get better it didn't
R80tJ4lAz20,186.879,5.0,get better I was amazed you know he
R80tJ4lAz20,188.959,4.801,lived uh for so long in bad conditions
R80tJ4lAz20,191.879,4.881,you know in in terms of I was amazed
R80tJ4lAz20,193.76,4.479,that his body could hold out it held out
R80tJ4lAz20,196.76,3.8,and itd had bad
R80tJ4lAz20,198.239,4.241,moments and but his body was
R80tJ4lAz20,200.56,4.2,unbelievably strong that it could that
R80tJ4lAz20,202.48,4.119,it could withstand this it's a body just
R80tJ4lAz20,204.76,4.28,so resilient do you remember the last
R80tJ4lAz20,206.599,6.0,time that you saw him or spent with him
R80tJ4lAz20,209.04,6.479,I do and uh I'm sorry to ask about it
R80tJ4lAz20,212.599,4.961,yeah know it's well you know the reason
R80tJ4lAz20,215.519,3.92,it's good talking about it is it might
R80tJ4lAz20,217.56,4.12,help other people if it helps one other
R80tJ4lAz20,219.439,3.601,person it's worth a conversation for we
R80tJ4lAz20,221.68,3.839,talked about that stuff a lot on our on
R80tJ4lAz20,223.04,5.279,our podcast yeah a lot of our audience
R80tJ4lAz20,225.519,6.08,uh struggles or has struggled with um
R80tJ4lAz20,228.319,5.321,alcoholism addiction intimacy disorders
R80tJ4lAz20,231.599,3.761,all types of stuff you know so it's like
R80tJ4lAz20,233.64,3.879,a it's pretty kind of normal
R80tJ4lAz20,235.36,4.519,conversation but um you know the
R80tJ4lAz20,237.519,4.44,interesting thing is and I tell people
R80tJ4lAz20,239.879,4.64,so I never had a cigarette and I've
R80tJ4lAz20,241.959,4.48,never had a glass of alcohol and my
R80tJ4lAz20,244.519,3.961,brother was incredible he would tell me
R80tJ4lAz20,246.439,3.961,because he knew he had a problem and it
R80tJ4lAz20,248.48,3.599,say don't ever drink don't ever smoke
R80tJ4lAz20,250.4,5.44,he'd always add smoking because he did
R80tJ4lAz20,252.079,6.56,smoke a lot which is you know not very
R80tJ4lAz20,255.84,4.359,healthy but he'd say don't ever drink
R80tJ4lAz20,258.639,3.081,don't ever drink he'd tell me every time
R80tJ4lAz20,260.199,5.361,I said don't ever drink because he knew
R80tJ4lAz20,261.72,6.08,he had this yeah addiction and I never
R80tJ4lAz20,265.56,5.199,had a glass of alcohol never ever did I
R80tJ4lAz20,267.8,4.6,have a glass of alcohol because to him
R80tJ4lAz20,270.759,3.561,and I would say that if I did drink I
R80tJ4lAz20,272.4,4.519,could you know conceivably be the type
R80tJ4lAz20,274.32,4.36,of Personality that would have yeah like
R80tJ4lAz20,276.919,3.401,you that would have a problem but I
R80tJ4lAz20,278.68,4.28,never had and and the only thing I say
R80tJ4lAz20,280.32,4.84,to people is if too late for the people
R80tJ4lAz20,282.96,4.4,that you're talking about but if you
R80tJ4lAz20,285.16,5.08,don't drink you don't miss it I mean I I
R80tJ4lAz20,287.36,4.0,I don't even think about alcohol or it's
R80tJ4lAz20,290.24,2.799,not a part of your world I don't think
R80tJ4lAz20,291.36,4.2,about cigarettes I don't think about any
R80tJ4lAz20,293.039,5.401,of that if you if you don't take drugs
R80tJ4lAz20,295.56,5.24,or if you don't have alcohol it's real
R80tJ4lAz20,298.44,4.759,easy not to drink it it's one I had a
R80tJ4lAz20,300.8,5.119,friend who uh went to the Wharton School
R80tJ4lAz20,303.199,4.72,of Finance with me he was a very smart
R80tJ4lAz20,305.919,4.56,guy where is it Wharton School that's in
R80tJ4lAz20,307.919,4.961,Philadelphia that's at at pen oh yeah
R80tJ4lAz20,310.479,5.921,Rocky right and it's a great great
R80tJ4lAz20,312.88,5.039,school great business school and uh it's
R80tJ4lAz20,316.4,4.2,part of the University of Pennsylvania
R80tJ4lAz20,317.919,4.12,the business school nice down there yeah
R80tJ4lAz20,320.6,5.039,my friend's brother went there or
R80tJ4lAz20,322.039,6.481,something well then he was smart because
R80tJ4lAz20,325.639,5.481,it's a great school and um but this this
R80tJ4lAz20,328.52,6.48,person that I met he hated the taste of
R80tJ4lAz20,331.12,5.84,scotch hated it couldn't stand it but he
R80tJ4lAz20,335.0,4.24,insisted on having it because he wanted
R80tJ4lAz20,336.96,4.519,he felt it was important to be able to
R80tJ4lAz20,339.24,3.84,drink I said no just don't drink he said
R80tJ4lAz20,341.479,3.041,you know to be successful in business
R80tJ4lAz20,343.08,4.08,you have to sort of interact and you
R80tJ4lAz20,344.52,6.04,have to drink and I said don't do it
R80tJ4lAz20,347.16,6.2,anyway he became an unbelievable
R80tJ4lAz20,350.56,5.639,alcoholic uncontrollable alcoholic Oh I
R80tJ4lAz20,353.36,5.279,thought best yeah and he died he was a
R80tJ4lAz20,356.199,4.241,you know he but he hated the taste of
R80tJ4lAz20,358.639,4.241,scotch and he still did and they
R80tJ4lAz20,360.44,3.84,couldn't live without it literally well
R80tJ4lAz20,362.88,2.92,I think I noticed a lot of like in the
R80tJ4lAz20,364.28,2.84,recovery rooms and stuff it's a lot of
R80tJ4lAz20,365.8,3.519,people that have they're missing
R80tJ4lAz20,367.12,4.24,something inside of them and so they
R80tJ4lAz20,369.319,4.32,they take on like you know they want to
R80tJ4lAz20,371.36,3.8,try and fill it up with something else
R80tJ4lAz20,373.639,4.56,um yeah do you remember the last time
R80tJ4lAz20,375.16,5.8,that you spent with your brother I do
R80tJ4lAz20,378.199,7.0,and he'd have periods where he'd get
R80tJ4lAz20,380.96,8.04,sick very sick and we thought we'd lose
R80tJ4lAz20,385.199,5.521,him or we lost him then he get better
R80tJ4lAz20,389.0,4.44,and that happened five or six times I
R80tJ4lAz20,390.72,5.52,mean where you thought you lost him and
R80tJ4lAz20,393.44,4.599,then he got better and it was amazing I
R80tJ4lAz20,396.24,2.72,mean he was in a certain way very strong
R80tJ4lAz20,398.039,4.761,in that
R80tJ4lAz20,398.96,6.92,sense and I just tell people it's it's
R80tJ4lAz20,402.8,4.08,so tragic don't drink just don't drink
R80tJ4lAz20,405.88,2.56,yeah and you're not going to have a
R80tJ4lAz20,406.88,3.52,problem like even you if you didn't
R80tJ4lAz20,408.44,3.44,drink you would never but you probably
R80tJ4lAz20,410.4,2.84,maybe wouldn't be successful like you
R80tJ4lAz20,411.88,3.64,are you know it's part of your your
R80tJ4lAz20,413.24,3.679,story right it's helped me a lot yeah
R80tJ4lAz20,415.52,4.239,yeah cuz I don't know what would happen
