video_id,start,duration,text
ke3Pb9_oMrg,0.8,4.04,"Phelps, of course, is the most decorated"
ke3Pb9_oMrg,2.6,4.88,Olympian [music] of all time. If he was
ke3Pb9_oMrg,4.84,5.88,"a country, he would have the third most"
ke3Pb9_oMrg,7.48,3.24,swimming medals ever.
ke3Pb9_oMrg,10.96,2.04,Where did this obsession of winning come
ke3Pb9_oMrg,12.72,1.88,from?
ke3Pb9_oMrg,13.0,3.08,>> Hating to lose.
ke3Pb9_oMrg,14.6,2.76,I hate to lose more than I enjoy
ke3Pb9_oMrg,16.08,2.16,winning.
ke3Pb9_oMrg,17.36,3.48,How did this come up?
ke3Pb9_oMrg,18.24,4.64,>> One thing my coach took out of my
ke3Pb9_oMrg,20.84,3.68,"vocabulary was the word can't, because"
ke3Pb9_oMrg,22.88,4.24,it's going to be exponentially harder
ke3Pb9_oMrg,24.52,5.2,since you told yourself you can't. 28
ke3Pb9_oMrg,27.12,4.92,medals. The second youngest male swimmer
ke3Pb9_oMrg,29.72,3.8,to qualify for a US Olympic team. And
ke3Pb9_oMrg,32.04,2.32,what goes on in your head before even
ke3Pb9_oMrg,33.52,2.92,the race has started?
ke3Pb9_oMrg,34.36,3.76,">> When I'm on the block, nothing. I'm like"
ke3Pb9_oMrg,36.44,3.52,a dog trying to get out of the cage.
ke3Pb9_oMrg,38.12,4.92,Like I'm just
ke3Pb9_oMrg,39.96,6.04,Did you use any psychological warfare
ke3Pb9_oMrg,43.04,4.12,sort of tactic against your competitors?
ke3Pb9_oMrg,46.0,3.16,I'm taking care of me and I'm focusing
ke3Pb9_oMrg,47.16,3.32,[music] on what I need in that moment. I
ke3Pb9_oMrg,49.16,2.52,don't give a [ __ ] about my competitors
ke3Pb9_oMrg,50.48,4.76,in that moment. When I'm on the pool
ke3Pb9_oMrg,51.68,5.76,"deck, it is a full-blown war."
ke3Pb9_oMrg,55.24,4.32,I want to absolutely destroy them.
ke3Pb9_oMrg,57.44,3.44,Was there anyone you secretly feared as
ke3Pb9_oMrg,59.56,3.32,a competitor?
ke3Pb9_oMrg,60.88,3.4,"No, I beat everybody."
ke3Pb9_oMrg,62.88,3.16,I don't care who you are. I'm the shark
ke3Pb9_oMrg,64.28,3.76,in the water.
ke3Pb9_oMrg,66.04,4.28,"If I smell that smallest ounce of blood,"
ke3Pb9_oMrg,68.04,4.2,I'm going to destroy you. Watch me take
ke3Pb9_oMrg,70.32,4.76,"it. Tell me about that phase, which is"
ke3Pb9_oMrg,72.24,5.6,"your 2008 Beijing, where you won eight"
ke3Pb9_oMrg,75.08,4.2,gold medals. History in Beijing for
ke3Pb9_oMrg,77.84,4.48,Michael Phelps.
ke3Pb9_oMrg,79.28,4.84,"Eight for eight. For those two years, I"
ke3Pb9_oMrg,82.32,3.84,felt unbeatable in the pool. I literally
ke3Pb9_oMrg,84.12,3.32,felt like there wasn't a single soul on
ke3Pb9_oMrg,86.16,2.72,"the planet that could touch me, that"
ke3Pb9_oMrg,87.44,3.12,could beat me.
ke3Pb9_oMrg,88.88,3.32,"In an interview which you gave, the"
ke3Pb9_oMrg,90.56,3.72,interviewer asked you that you have won
ke3Pb9_oMrg,92.2,3.84,"28 Olympic medals in your life, and you"
ke3Pb9_oMrg,94.28,4.52,"said no, there's 23 that count."
ke3Pb9_oMrg,96.04,5.04,>> I medaled in 28 out of 30 of my races at
ke3Pb9_oMrg,98.8,3.8,the Olympic Games. 23 are only the ones
ke3Pb9_oMrg,101.08,3.48,that we need to talk to. Silver is
ke3Pb9_oMrg,102.6,3.88,"losing? You're second, you lost. Third"
ke3Pb9_oMrg,104.56,4.12,"place, you lost. I don't talk about the"
ke3Pb9_oMrg,106.48,3.04,other five. It's going to be gold.
ke3Pb9_oMrg,108.68,2.44,It's going to be
ke3Pb9_oMrg,109.52,4.0,a new world record.
ke3Pb9_oMrg,111.12,4.68,"Once I did make that Olympic team, when"
ke3Pb9_oMrg,113.52,3.6,"I got fifth, I was pissed because I"
ke3Pb9_oMrg,115.8,3.16,didn't want a piece of paper that
ke3Pb9_oMrg,117.12,3.4,"somebody said congratulations, you came"
ke3Pb9_oMrg,118.96,3.84,and competed. I came because I wanted
ke3Pb9_oMrg,120.52,3.4,something around my neck.
ke3Pb9_oMrg,122.8,4.24,I'm there to hear my national anthem
ke3Pb9_oMrg,123.92,3.12,play. That's it.
ke3Pb9_oMrg,127.12,2.32,Tell me the first time you won the gold
ke3Pb9_oMrg,129.0,2.64,medal.
ke3Pb9_oMrg,129.44,4.52,>> I couldn't get caught up in that one
ke3Pb9_oMrg,131.64,4.16,"moment, even though it was special. So,"
ke3Pb9_oMrg,133.96,5.08,"that gold medal is like, all right,"
ke3Pb9_oMrg,135.8,5.24,"finished, what's next?"
ke3Pb9_oMrg,139.04,3.4,"Walk me through four, five techniques or"
ke3Pb9_oMrg,141.04,3.6,certain things that you would do in that
ke3Pb9_oMrg,142.44,4.6,"five, six years of training, where you"
ke3Pb9_oMrg,144.64,3.68,were truly preparing to win gold. We'd
ke3Pb9_oMrg,147.04,3.0,start in the morning with a training
ke3Pb9_oMrg,148.32,4.12,session.
ke3Pb9_oMrg,150.04,5.4,"Eat plates of food for breakfast, go"
ke3Pb9_oMrg,152.44,5.8,"home, take a nap, wake up, eat something"
ke3Pb9_oMrg,155.44,4.4,"else, go back to the pool, go home, eat,"
ke3Pb9_oMrg,158.24,3.76,"sleep, wake up, and do it all over"
ke3Pb9_oMrg,159.84,3.84,again. Every day for six years? Six-year
ke3Pb9_oMrg,162.0,2.88,stretch where I didn't miss a single
ke3Pb9_oMrg,163.68,3.0,day.
ke3Pb9_oMrg,164.88,3.4,"A lot of people say why, and I say why"
ke3Pb9_oMrg,166.68,3.72,not. There wasn't a single person on
ke3Pb9_oMrg,168.28,4.04,"this planet during those 20 years,"
ke3Pb9_oMrg,170.4,3.24,"pretty much in my career, that was more"
ke3Pb9_oMrg,172.32,3.876,prepared than me. That's why I got the
ke3Pb9_oMrg,173.64,4.576,results that I got.
ke3Pb9_oMrg,176.196,2.02,>> [music]
ke3Pb9_oMrg,183.2,6.4,">> Five Olympic Games, 28 medals, 23 of"
